"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 18 07:21:53 GMT 2023","Fri Aug 18 07:23:04 GMT 2023","71191","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"broken","Fri Aug 18 07:45:04 GMT 2023","Fri Aug 18 07:45:58 GMT 2023","54417","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"broken","Fri Aug 18 07:30:27 GMT 2023","Fri Aug 18 07:32:00 GMT 2023","93285","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"broken","Fri Aug 18 07:51:29 GMT 2023","Fri Aug 18 07:52:41 GMT 2023","71596","","Permalinks","","Permalinks","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel",""
"broken","Fri Aug 18 07:34:44 GMT 2023","Fri Aug 18 07:35:55 GMT 2023","70835","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Fri Aug 18 07:23:05 GMT 2023","Fri Aug 18 07:23:50 GMT 2023","44508","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"broken","Fri Aug 18 07:40:53 GMT 2023","Fri Aug 18 07:42:27 GMT 2023","93337","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"broken","Fri Aug 18 07:49:21 GMT 2023","Fri Aug 18 07:50:15 GMT 2023","54075","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"broken","Fri Aug 18 07:48:25 GMT 2023","Fri Aug 18 07:49:20 GMT 2023","55125","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"broken","Fri Aug 18 07:39:20 GMT 2023","Fri Aug 18 07:40:52 GMT 2023","91806","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
