"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 19 06:35:40 GMT 2022","Thu May 19 06:36:36 GMT 2022","55612","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Thu May 19 06:13:01 GMT 2022","Thu May 19 06:13:53 GMT 2022","51871","","Complete Test Suite","","Complete Test Suite","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"passed","Thu May 19 06:08:42 GMT 2022","Thu May 19 06:09:17 GMT 2022","34516","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Thu May 19 06:21:29 GMT 2022","Thu May 19 06:22:32 GMT 2022","62515","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Thu May 19 07:05:45 GMT 2022","Thu May 19 07:06:22 GMT 2022","37686","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Thu May 19 06:38:19 GMT 2022","Thu May 19 06:40:22 GMT 2022","123517","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Thu May 19 06:27:18 GMT 2022","Thu May 19 06:28:01 GMT 2022","42907","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Thu May 19 06:37:30 GMT 2022","Thu May 19 06:38:17 GMT 2022","46861","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Thu May 19 06:53:54 GMT 2022","Thu May 19 06:56:14 GMT 2022","140135","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Thu May 19 06:09:18 GMT 2022","Thu May 19 06:09:48 GMT 2022","29680","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Thu May 19 06:19:12 GMT 2022","Thu May 19 06:20:19 GMT 2022","66451","","Complete Test Suite","","Complete Test Suite","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Thu May 19 06:32:55 GMT 2022","Thu May 19 06:33:49 GMT 2022","54113","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Thu May 19 06:22:33 GMT 2022","Thu May 19 06:23:52 GMT 2022","78481","","Complete Test Suite","","Complete Test Suite","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"passed","Thu May 19 06:40:23 GMT 2022","Thu May 19 06:42:35 GMT 2022","132057","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Thu May 19 06:47:12 GMT 2022","Thu May 19 06:48:06 GMT 2022","54095","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Thu May 19 06:33:51 GMT 2022","Thu May 19 06:34:47 GMT 2022","56320","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Thu May 19 06:49:13 GMT 2022","Thu May 19 06:51:32 GMT 2022","138724","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu May 19 06:58:41 GMT 2022","Thu May 19 07:01:15 GMT 2022","153402","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Thu May 19 06:30:26 GMT 2022","Thu May 19 06:31:16 GMT 2022","49778","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Thu May 19 06:15:42 GMT 2022","Thu May 19 06:16:36 GMT 2022","53205","","Complete Test Suite","","Complete Test Suite","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Thu May 19 06:48:07 GMT 2022","Thu May 19 06:49:12 GMT 2022","64374","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Thu May 19 06:32:02 GMT 2022","Thu May 19 06:32:54 GMT 2022","51160","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Thu May 19 06:16:37 GMT 2022","Thu May 19 06:17:50 GMT 2022","72421","","Complete Test Suite","","Complete Test Suite","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Thu May 19 06:08:18 GMT 2022","Thu May 19 06:08:41 GMT 2022","22870","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Thu May 19 06:42:37 GMT 2022","Thu May 19 06:45:06 GMT 2022","148998","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu May 19 06:10:49 GMT 2022","Thu May 19 06:12:05 GMT 2022","75727","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Thu May 19 06:45:58 GMT 2022","Thu May 19 06:47:11 GMT 2022","72411","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Thu May 19 07:03:47 GMT 2022","Thu May 19 07:04:34 GMT 2022","47215","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Thu May 19 06:31:17 GMT 2022","Thu May 19 06:32:01 GMT 2022","43370","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Thu May 19 06:09:49 GMT 2022","Thu May 19 06:10:48 GMT 2022","58434","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Thu May 19 06:28:48 GMT 2022","Thu May 19 06:29:32 GMT 2022","43297","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Thu May 19 06:13:54 GMT 2022","Thu May 19 06:14:51 GMT 2022","56325","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Thu May 19 06:17:51 GMT 2022","Thu May 19 06:19:11 GMT 2022","79673","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"passed","Thu May 19 06:56:15 GMT 2022","Thu May 19 06:58:40 GMT 2022","144591","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Thu May 19 07:01:16 GMT 2022","Thu May 19 07:03:45 GMT 2022","148985","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Thu May 19 06:29:33 GMT 2022","Thu May 19 06:30:25 GMT 2022","52006","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Thu May 19 06:28:02 GMT 2022","Thu May 19 06:28:47 GMT 2022","44676","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Thu May 19 06:23:53 GMT 2022","Thu May 19 06:25:03 GMT 2022","70278","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Thu May 19 06:14:52 GMT 2022","Thu May 19 06:15:41 GMT 2022","48891","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Thu May 19 06:51:33 GMT 2022","Thu May 19 06:53:52 GMT 2022","138898","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Thu May 19 06:25:47 GMT 2022","Thu May 19 06:27:17 GMT 2022","89433","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Thu May 19 07:04:35 GMT 2022","Thu May 19 07:05:43 GMT 2022","68057","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
