"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 15:02:56 GMT 2022","Fri Aug 26 15:03:22 GMT 2022","26331","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Fri Aug 26 15:21:12 GMT 2022","Fri Aug 26 15:21:50 GMT 2022","37501","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Fri Aug 26 15:24:56 GMT 2022","Fri Aug 26 15:25:26 GMT 2022","29775","","Inbox Test Suite","","Inbox Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Fri Aug 26 15:41:25 GMT 2022","Fri Aug 26 15:42:44 GMT 2022","79627","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Fri Aug 26 15:17:12 GMT 2022","Fri Aug 26 15:17:35 GMT 2022","22954","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Fri Aug 26 15:08:48 GMT 2022","Fri Aug 26 15:09:30 GMT 2022","42046","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Fri Aug 26 15:23:02 GMT 2022","Fri Aug 26 15:23:27 GMT 2022","24387","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Fri Aug 26 15:44:11 GMT 2022","Fri Aug 26 15:45:34 GMT 2022","83779","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Fri Aug 26 14:59:15 GMT 2022","Fri Aug 26 14:59:33 GMT 2022","17999","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Fri Aug 26 15:45:36 GMT 2022","Fri Aug 26 15:46:59 GMT 2022","83762","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Fri Aug 26 15:15:58 GMT 2022","Fri Aug 26 15:16:44 GMT 2022","46704","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Fri Aug 26 15:33:08 GMT 2022","Fri Aug 26 15:34:46 GMT 2022","97690","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Fri Aug 26 15:09:31 GMT 2022","Fri Aug 26 15:10:21 GMT 2022","50319","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Fri Aug 26 15:51:31 GMT 2022","Fri Aug 26 15:51:54 GMT 2022","22363","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Fri Aug 26 15:11:55 GMT 2022","Fri Aug 26 15:12:44 GMT 2022","49284","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Fri Aug 26 14:58:39 GMT 2022","Fri Aug 26 14:58:51 GMT 2022","11515","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Fri Aug 26 15:48:57 GMT 2022","Fri Aug 26 15:50:19 GMT 2022","82883","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Fri Aug 26 15:00:19 GMT 2022","Fri Aug 26 15:01:24 GMT 2022","64327","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Fri Aug 26 15:22:18 GMT 2022","Fri Aug 26 15:23:01 GMT 2022","43043","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Fri Aug 26 15:16:45 GMT 2022","Fri Aug 26 15:17:11 GMT 2022","25605","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Fri Aug 26 15:28:41 GMT 2022","Fri Aug 26 15:30:07 GMT 2022","85421","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Fri Aug 26 15:06:10 GMT 2022","Fri Aug 26 15:06:45 GMT 2022","35261","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Fri Aug 26 15:04:45 GMT 2022","Fri Aug 26 15:05:12 GMT 2022","27305","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Fri Aug 26 15:07:14 GMT 2022","Fri Aug 26 15:07:42 GMT 2022","28263","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Fri Aug 26 15:20:16 GMT 2022","Fri Aug 26 15:20:44 GMT 2022","27731","","Inbox Test Suite","","Inbox Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Aug 26 15:18:26 GMT 2022","Fri Aug 26 15:18:58 GMT 2022","32721","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Fri Aug 26 15:47:00 GMT 2022","Fri Aug 26 15:48:55 GMT 2022","115009","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Fri Aug 26 15:03:23 GMT 2022","Fri Aug 26 15:03:51 GMT 2022","27588","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Fri Aug 26 15:27:24 GMT 2022","Fri Aug 26 15:28:40 GMT 2022","76730","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Fri Aug 26 15:23:28 GMT 2022","Fri Aug 26 15:23:56 GMT 2022","27855","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Aug 26 15:10:59 GMT 2022","Fri Aug 26 15:11:54 GMT 2022","54903","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Fri Aug 26 15:05:13 GMT 2022","Fri Aug 26 15:05:41 GMT 2022","28077","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Aug 26 15:25:55 GMT 2022","Fri Aug 26 15:26:27 GMT 2022","31201","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Fri Aug 26 15:18:02 GMT 2022","Fri Aug 26 15:18:25 GMT 2022","23118","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Fri Aug 26 15:50:20 GMT 2022","Fri Aug 26 15:50:47 GMT 2022","26377","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Fri Aug 26 15:39:59 GMT 2022","Fri Aug 26 15:41:23 GMT 2022","84433","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Fri Aug 26 15:01:59 GMT 2022","Fri Aug 26 15:02:25 GMT 2022","25304","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Aug 26 15:42:45 GMT 2022","Fri Aug 26 15:44:09 GMT 2022","83344","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Fri Aug 26 15:15:31 GMT 2022","Fri Aug 26 15:15:56 GMT 2022","25978","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Fri Aug 26 15:30:08 GMT 2022","Fri Aug 26 15:31:45 GMT 2022","97389","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Fri Aug 26 15:10:22 GMT 2022","Fri Aug 26 15:10:58 GMT 2022","35606","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Fri Aug 26 15:36:41 GMT 2022","Fri Aug 26 15:37:30 GMT 2022","49382","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Fri Aug 26 15:07:43 GMT 2022","Fri Aug 26 15:08:13 GMT 2022","29931","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Fri Aug 26 15:25:27 GMT 2022","Fri Aug 26 15:25:54 GMT 2022","27123","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Fri Aug 26 15:01:25 GMT 2022","Fri Aug 26 15:01:58 GMT 2022","33492","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Aug 26 15:31:46 GMT 2022","Fri Aug 26 15:33:07 GMT 2022","80943","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Fri Aug 26 15:37:31 GMT 2022","Fri Aug 26 15:38:02 GMT 2022","30463","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Fri Aug 26 15:24:25 GMT 2022","Fri Aug 26 15:24:55 GMT 2022","30376","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Fri Aug 26 15:05:42 GMT 2022","Fri Aug 26 15:06:08 GMT 2022","26048","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Fri Aug 26 15:08:14 GMT 2022","Fri Aug 26 15:08:47 GMT 2022","32834","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Fri Aug 26 15:26:28 GMT 2022","Fri Aug 26 15:26:54 GMT 2022","26436","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Fri Aug 26 15:17:36 GMT 2022","Fri Aug 26 15:18:00 GMT 2022","24470","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Fri Aug 26 15:34:47 GMT 2022","Fri Aug 26 15:35:20 GMT 2022","32788","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Fri Aug 26 15:06:46 GMT 2022","Fri Aug 26 15:07:13 GMT 2022","26886","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Fri Aug 26 15:13:57 GMT 2022","Fri Aug 26 15:15:05 GMT 2022","67464","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri Aug 26 14:59:34 GMT 2022","Fri Aug 26 15:00:18 GMT 2022","44148","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Aug 26 15:18:59 GMT 2022","Fri Aug 26 15:19:39 GMT 2022","39575","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Fri Aug 26 15:35:21 GMT 2022","Fri Aug 26 15:36:40 GMT 2022","79215","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"passed","Fri Aug 26 15:02:26 GMT 2022","Fri Aug 26 15:02:55 GMT 2022","29038","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Aug 26 15:13:30 GMT 2022","Fri Aug 26 15:13:56 GMT 2022","26027","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Aug 26 15:50:48 GMT 2022","Fri Aug 26 15:51:30 GMT 2022","42372","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Fri Aug 26 14:58:51 GMT 2022","Fri Aug 26 14:59:14 GMT 2022","22424","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Fri Aug 26 15:12:45 GMT 2022","Fri Aug 26 15:13:29 GMT 2022","43849","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Fri Aug 26 15:38:03 GMT 2022","Fri Aug 26 15:39:33 GMT 2022","90155","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Aug 26 15:04:18 GMT 2022","Fri Aug 26 15:04:44 GMT 2022","25741","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Aug 26 15:19:40 GMT 2022","Fri Aug 26 15:20:15 GMT 2022","34793","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Fri Aug 26 15:21:51 GMT 2022","Fri Aug 26 15:22:17 GMT 2022","26224","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Fri Aug 26 15:39:34 GMT 2022","Fri Aug 26 15:39:58 GMT 2022","23818","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Aug 26 15:03:52 GMT 2022","Fri Aug 26 15:04:17 GMT 2022","25201","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Fri Aug 26 15:26:55 GMT 2022","Fri Aug 26 15:27:23 GMT 2022","27295","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Fri Aug 26 15:20:45 GMT 2022","Fri Aug 26 15:21:11 GMT 2022","26550","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Aug 26 15:15:06 GMT 2022","Fri Aug 26 15:15:29 GMT 2022","23718","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Fri Aug 26 15:23:57 GMT 2022","Fri Aug 26 15:24:24 GMT 2022","27044","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Fri Aug 26 16:28:55 GMT 2022","Fri Aug 26 16:29:32 GMT 2022","37719","","Quoted Text Test Suite","","Quoted Text Test Suite","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.","TC565 - To verify user is able to collapse the quoted text by clicking on ""Hide Quoted Text"" link in compose screen.",""
"broken","Fri Aug 26 16:34:30 GMT 2022","Fri Aug 26 16:35:07 GMT 2022","37383","","Quoted Text Test Suite","","Quoted Text Test Suite","TC577 - To verify the quoted text with no internet","TC577 - To verify the quoted text with no internet",""
"passed","Fri Aug 26 16:04:13 GMT 2022","Fri Aug 26 16:07:19 GMT 2022","186010","","Permalink Test Suite","","Permalink Test Suite","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"broken","Fri Aug 26 16:03:31 GMT 2022","Fri Aug 26 16:04:12 GMT 2022","41304","","Permalink Test Suite","","Permalink Test Suite","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Fri Aug 26 16:08:49 GMT 2022","Fri Aug 26 16:09:29 GMT 2022","40087","","Permalink Test Suite","","Permalink Test Suite","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"broken","Fri Aug 26 16:27:03 GMT 2022","Fri Aug 26 16:27:36 GMT 2022","32917","","Quoted Text Test Suite","","Quoted Text Test Suite","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same","TC561 - To verify ""Hide Quoted Text"" is clickable and the entire conversation thread under quoted text should collapse if user clicks the same",""
"broken","Fri Aug 26 16:26:26 GMT 2022","Fri Aug 26 16:27:02 GMT 2022","36203","","Quoted Text Test Suite","","Quoted Text Test Suite","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.","TC560 - To verify ""Show quoted text"" is clickable in conversation thread list page.",""
"passed","Fri Aug 26 16:21:53 GMT 2022","Fri Aug 26 16:22:22 GMT 2022","28493","","Forward Test Suite","","Forward Test Suite","TC590 - To verify that the cursor lands on ""To"" field in ""Compose Page"" when user is forwarding/forwards a mail","TC590 - To verify that the cursor lands on ""To"" field in ""Compose Page"" when user is forwarding/forwards a mail",""
"broken","Fri Aug 26 16:31:43 GMT 2022","Fri Aug 26 16:32:25 GMT 2022","42458","","Quoted Text Test Suite","","Quoted Text Test Suite","TC572 - To verify the quoted text with new recipient","TC572 - To verify the quoted text with new recipient",""
"passed","Fri Aug 26 15:59:07 GMT 2022","Fri Aug 26 15:59:46 GMT 2022","38698","","Permalink Test Suite","","Permalink Test Suite","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Fri Aug 26 16:08:06 GMT 2022","Fri Aug 26 16:08:47 GMT 2022","41467","","Permalink Test Suite","","Permalink Test Suite","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Fri Aug 26 16:20:08 GMT 2022","Fri Aug 26 16:21:26 GMT 2022","77910","","Forward Test Suite","","Forward Test Suite","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC588 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Fri Aug 26 16:09:30 GMT 2022","Fri Aug 26 16:11:08 GMT 2022","98216","","Permalink Test Suite","","Permalink Test Suite","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"broken","Fri Aug 26 16:36:08 GMT 2022","Fri Aug 26 16:36:48 GMT 2022","40114","","Quoted Text Test Suite","","Quoted Text Test Suite","TC598 - To verify the focus/cusor when user removes the attachment in compose screen","TC598 - To verify the focus/cusor when user removes the attachment in compose screen",""
"passed","Fri Aug 26 16:16:00 GMT 2022","Fri Aug 26 16:17:28 GMT 2022","87928","","Permalink Test Suite","","Permalink Test Suite","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Fri Aug 26 16:13:21 GMT 2022","Fri Aug 26 16:13:52 GMT 2022","30997","","Permalink Test Suite","","Permalink Test Suite","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
