"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 15:12:57 GMT 2022","Wed Jun 08 15:13:52 GMT 2022","55424","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Jun 08 15:06:35 GMT 2022","Wed Jun 08 15:07:22 GMT 2022","46915","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"passed","Wed Jun 08 15:11:29 GMT 2022","Wed Jun 08 15:12:11 GMT 2022","42617","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"broken","Wed Jun 08 15:22:11 GMT 2022","Wed Jun 08 15:22:50 GMT 2022","38713","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Wed Jun 08 15:08:10 GMT 2022","Wed Jun 08 15:08:52 GMT 2022","42232","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Wed Jun 08 15:19:25 GMT 2022","Wed Jun 08 15:20:27 GMT 2022","62266","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Wed Jun 08 15:23:32 GMT 2022","Wed Jun 08 15:24:11 GMT 2022","38792","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"broken","Wed Jun 08 15:29:37 GMT 2022","Wed Jun 08 15:30:17 GMT 2022","39478","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Wed Jun 08 15:16:32 GMT 2022","Wed Jun 08 15:17:29 GMT 2022","56893","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Wed Jun 08 15:21:22 GMT 2022","Wed Jun 08 15:22:09 GMT 2022","47341","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Wed Jun 08 15:04:27 GMT 2022","Wed Jun 08 15:05:07 GMT 2022","39907","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Wed Jun 08 15:31:00 GMT 2022","Wed Jun 08 15:31:39 GMT 2022","39100","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Wed Jun 08 15:14:49 GMT 2022","Wed Jun 08 15:15:37 GMT 2022","48040","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Wed Jun 08 15:27:17 GMT 2022","Wed Jun 08 15:28:13 GMT 2022","55779","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Wed Jun 08 15:30:18 GMT 2022","Wed Jun 08 15:30:58 GMT 2022","39642","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Wed Jun 08 15:20:29 GMT 2022","Wed Jun 08 15:21:20 GMT 2022","51129","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Wed Jun 08 15:34:04 GMT 2022","Wed Jun 08 15:34:38 GMT 2022","33539","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Wed Jun 08 15:31:41 GMT 2022","Wed Jun 08 15:32:21 GMT 2022","39843","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Wed Jun 08 15:02:54 GMT 2022","Wed Jun 08 15:03:36 GMT 2022","42519","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"broken","Wed Jun 08 15:32:22 GMT 2022","Wed Jun 08 15:33:12 GMT 2022","49602","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Wed Jun 08 15:26:25 GMT 2022","Wed Jun 08 15:27:15 GMT 2022","50594","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Wed Jun 08 15:02:08 GMT 2022","Wed Jun 08 15:02:52 GMT 2022","44301","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Wed Jun 08 15:13:54 GMT 2022","Wed Jun 08 15:14:47 GMT 2022","52812","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Wed Jun 08 15:05:09 GMT 2022","Wed Jun 08 15:05:50 GMT 2022","40420","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Wed Jun 08 15:03:38 GMT 2022","Wed Jun 08 15:04:26 GMT 2022","47708","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Wed Jun 08 15:25:05 GMT 2022","Wed Jun 08 15:26:23 GMT 2022","77929","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Wed Jun 08 14:59:21 GMT 2022","Wed Jun 08 15:00:17 GMT 2022","55972","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Wed Jun 08 15:07:24 GMT 2022","Wed Jun 08 15:08:08 GMT 2022","44836","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Wed Jun 08 15:15:38 GMT 2022","Wed Jun 08 15:16:31 GMT 2022","52363","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Wed Jun 08 14:58:58 GMT 2022","Wed Jun 08 14:59:19 GMT 2022","21227","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Wed Jun 08 15:05:51 GMT 2022","Wed Jun 08 15:06:33 GMT 2022","41804","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"broken","Wed Jun 08 15:22:52 GMT 2022","Wed Jun 08 15:23:30 GMT 2022","38790","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Wed Jun 08 15:18:33 GMT 2022","Wed Jun 08 15:19:23 GMT 2022","50440","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Wed Jun 08 15:08:54 GMT 2022","Wed Jun 08 15:10:43 GMT 2022","108843","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Wed Jun 08 15:28:56 GMT 2022","Wed Jun 08 15:29:35 GMT 2022","39021","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Wed Jun 08 14:58:29 GMT 2022","Wed Jun 08 14:58:56 GMT 2022","26893","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Wed Jun 08 15:10:45 GMT 2022","Wed Jun 08 15:11:27 GMT 2022","41982","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Wed Jun 08 15:33:14 GMT 2022","Wed Jun 08 15:34:03 GMT 2022","48829","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Wed Jun 08 15:00:19 GMT 2022","Wed Jun 08 15:01:28 GMT 2022","69854","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"failed","Wed Jun 08 14:58:11 GMT 2022","Wed Jun 08 14:58:27 GMT 2022","16438","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Wed Jun 08 15:12:13 GMT 2022","Wed Jun 08 15:12:55 GMT 2022","42354","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Wed Jun 08 15:24:13 GMT 2022","Wed Jun 08 15:25:03 GMT 2022","50342","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Wed Jun 08 15:17:31 GMT 2022","Wed Jun 08 15:18:31 GMT 2022","59891","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Wed Jun 08 15:01:30 GMT 2022","Wed Jun 08 15:02:06 GMT 2022","35700","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"broken","Wed Jun 08 15:28:15 GMT 2022","Wed Jun 08 15:28:55 GMT 2022","40018","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
