"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 03 15:10:22 GMT 2023","Sat Jun 03 15:11:44 GMT 2023","81967","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Sat Jun 03 15:33:05 GMT 2023","Sat Jun 03 15:33:28 GMT 2023","23475","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Sat Jun 03 14:52:54 GMT 2023","Sat Jun 03 14:53:34 GMT 2023","39980","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Sat Jun 03 14:55:42 GMT 2023","Sat Jun 03 14:56:10 GMT 2023","27393","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Sat Jun 03 15:02:28 GMT 2023","Sat Jun 03 15:02:54 GMT 2023","25958","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Sat Jun 03 15:25:45 GMT 2023","Sat Jun 03 15:27:13 GMT 2023","87848","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Sat Jun 03 14:55:17 GMT 2023","Sat Jun 03 14:55:41 GMT 2023","24482","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Sat Jun 03 15:24:20 GMT 2023","Sat Jun 03 15:25:44 GMT 2023","84034","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Sat Jun 03 15:08:38 GMT 2023","Sat Jun 03 15:09:04 GMT 2023","26149","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Sat Jun 03 15:07:10 GMT 2023","Sat Jun 03 15:07:37 GMT 2023","27168","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Sat Jun 03 15:09:06 GMT 2023","Sat Jun 03 15:10:20 GMT 2023","74962","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Sat Jun 03 14:59:20 GMT 2023","Sat Jun 03 14:59:44 GMT 2023","23789","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sat Jun 03 15:02:55 GMT 2023","Sat Jun 03 15:03:32 GMT 2023","37005","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"failed","Sat Jun 03 14:41:43 GMT 2023","Sat Jun 03 14:41:55 GMT 2023","11930","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sat Jun 03 14:57:46 GMT 2023","Sat Jun 03 14:58:29 GMT 2023","43209","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Sat Jun 03 14:44:43 GMT 2023","Sat Jun 03 14:45:09 GMT 2023","25431","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Sat Jun 03 15:22:57 GMT 2023","Sat Jun 03 15:24:19 GMT 2023","81338","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Sat Jun 03 14:58:55 GMT 2023","Sat Jun 03 14:59:19 GMT 2023","23335","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Sat Jun 03 15:31:56 GMT 2023","Sat Jun 03 15:32:22 GMT 2023","25867","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sat Jun 03 15:18:20 GMT 2023","Sat Jun 03 15:19:11 GMT 2023","50661","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Sat Jun 03 15:05:39 GMT 2023","Sat Jun 03 15:06:08 GMT 2023","28623","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Sat Jun 03 14:41:56 GMT 2023","Sat Jun 03 14:42:17 GMT 2023","21364","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sat Jun 03 14:51:21 GMT 2023","Sat Jun 03 14:52:03 GMT 2023","41836","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Sat Jun 03 14:42:37 GMT 2023","Sat Jun 03 14:43:15 GMT 2023","37754","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Sat Jun 03 14:45:10 GMT 2023","Sat Jun 03 14:45:36 GMT 2023","26452","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Sat Jun 03 15:05:13 GMT 2023","Sat Jun 03 15:05:38 GMT 2023","25438","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Sat Jun 03 15:19:44 GMT 2023","Sat Jun 03 15:21:06 GMT 2023","81845","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sat Jun 03 15:04:02 GMT 2023","Sat Jun 03 15:04:45 GMT 2023","43252","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Sat Jun 03 14:59:45 GMT 2023","Sat Jun 03 15:00:08 GMT 2023","23514","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Sat Jun 03 14:49:18 GMT 2023","Sat Jun 03 14:49:46 GMT 2023","27355","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Sat Jun 03 14:44:19 GMT 2023","Sat Jun 03 14:44:42 GMT 2023","23321","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sat Jun 03 15:19:12 GMT 2023","Sat Jun 03 15:19:43 GMT 2023","30747","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
