"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 30 15:09:40 GMT 2022","Mon May 30 15:10:24 GMT 2022","43892","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Mon May 30 15:30:42 GMT 2022","Mon May 30 15:31:25 GMT 2022","43412","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Mon May 30 15:01:43 GMT 2022","Mon May 30 15:02:56 GMT 2022","73350","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Mon May 30 14:59:25 GMT 2022","Mon May 30 14:59:47 GMT 2022","21768","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Mon May 30 15:14:55 GMT 2022","Mon May 30 15:15:41 GMT 2022","45506","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Mon May 30 15:20:12 GMT 2022","Mon May 30 15:20:56 GMT 2022","43832","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"broken","Mon May 30 15:32:11 GMT 2022","Mon May 30 15:32:55 GMT 2022","43837","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"broken","Mon May 30 15:08:09 GMT 2022","Mon May 30 15:08:53 GMT 2022","44606","","Complete Test Suite","","Complete Test Suite","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"broken","Mon May 30 15:20:57 GMT 2022","Mon May 30 15:21:41 GMT 2022","43849","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Mon May 30 15:33:40 GMT 2022","Mon May 30 15:34:23 GMT 2022","42566","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"broken","Mon May 30 15:02:57 GMT 2022","Mon May 30 15:03:41 GMT 2022","43299","","Complete Test Suite","","Complete Test Suite","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"broken","Mon May 30 15:05:11 GMT 2022","Mon May 30 15:05:55 GMT 2022","43761","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Mon May 30 15:07:25 GMT 2022","Mon May 30 15:08:08 GMT 2022","42988","","Complete Test Suite","","Complete Test Suite","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"broken","Mon May 30 15:26:59 GMT 2022","Mon May 30 15:27:43 GMT 2022","43494","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Mon May 30 15:12:42 GMT 2022","Mon May 30 15:13:24 GMT 2022","42840","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Mon May 30 15:26:13 GMT 2022","Mon May 30 15:26:58 GMT 2022","44435","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"broken","Mon May 30 15:18:40 GMT 2022","Mon May 30 15:19:25 GMT 2022","44460","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Mon May 30 15:05:56 GMT 2022","Mon May 30 15:06:39 GMT 2022","43534","","Complete Test Suite","","Complete Test Suite","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Mon May 30 15:17:56 GMT 2022","Mon May 30 15:18:39 GMT 2022","42889","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Mon May 30 15:11:11 GMT 2022","Mon May 30 15:11:55 GMT 2022","44509","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"broken","Mon May 30 15:19:26 GMT 2022","Mon May 30 15:20:11 GMT 2022","44522","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Mon May 30 15:08:55 GMT 2022","Mon May 30 15:09:39 GMT 2022","43727","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
