"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Jun 02 14:45:12 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1685717112629","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Jun 02 14:44:23 GMT 2023","Fri Jun 02 14:44:42 GMT 2023","18559","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"unknown","Fri Jun 02 14:45:13 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1685717113131","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Fri Jun 02 14:44:43 GMT 2023","Fri Jun 02 14:45:12 GMT 2023","29103","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"failed","Fri Jun 02 14:43:45 GMT 2023","Fri Jun 02 14:43:58 GMT 2023","12938","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Fri Jun 02 14:44:00 GMT 2023","Fri Jun 02 14:44:22 GMT 2023","22197","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Fri Jun 02 15:00:26 GMT 2023","Fri Jun 02 15:01:00 GMT 2023","34751","","Quoted Text","","Quoted Text","TC582 - To check the quoted text is removed in both sender and receiver side","TC582 - To check the quoted text is removed in both sender and receiver side",""
"passed","Fri Jun 02 15:27:09 GMT 2023","Fri Jun 02 15:27:50 GMT 2023","41446","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Fri Jun 02 15:17:13 GMT 2023","Fri Jun 02 15:18:43 GMT 2023","89809","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Fri Jun 02 15:24:51 GMT 2023","Fri Jun 02 15:25:44 GMT 2023","53194","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Fri Jun 02 14:54:06 GMT 2023","Fri Jun 02 14:55:26 GMT 2023","79402","","Quoted Text","","Quoted Text","TC572 - To verify the quoted text with new recipient","TC572 - To verify the quoted text with new recipient",""
"passed","Fri Jun 02 15:16:41 GMT 2023","Fri Jun 02 15:17:12 GMT 2023","31049","","Conversation Search","","Conversation Search","TC558 - Search with other languages","TC558 - Search with other languages",""
"passed","Fri Jun 02 14:50:37 GMT 2023","Fri Jun 02 14:51:14 GMT 2023","36633","","Quoted Text","","Quoted Text","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.","TC564 - To verify ""Hide Quoted Text"" and ""Remove"" link is visible when user has expanded the quoted text in compose screen.",""
"passed","Fri Jun 02 15:08:17 GMT 2023","Fri Jun 02 15:08:52 GMT 2023","35252","","Conversation Search","","Conversation Search","TC532 - To verify that name of the originator of the conversation is displayed in the search results.","TC532 - To verify that name of the originator of the conversation is displayed in the search results.",""
"passed","Fri Jun 02 15:06:31 GMT 2023","Fri Jun 02 15:07:04 GMT 2023","33097","","Conversation Search","","Conversation Search","TC528 - To verify the search results are displayed under ""All Mailboxes"" apart from chosen SM.","TC528 - To verify the search results are displayed under ""All Mailboxes"" apart from chosen SM.",""
"passed","Fri Jun 02 15:44:47 GMT 2023","Fri Jun 02 15:45:19 GMT 2023","32691","","Forward","","Forward","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.","TC586 -To verify user is able to see ""Forward"" button at the bottom in the conversation list page.",""
"broken","Fri Jun 02 15:11:39 GMT 2023","Fri Jun 02 15:12:22 GMT 2023","43138","","Conversation Search","","Conversation Search","TC538 - To verify the very first SM name chip is displayed in the ""All mailboxes"" search result under conversation if conversation is part of multiple SM's","TC538 - To verify the very first SM name chip is displayed in the ""All mailboxes"" search result under conversation if conversation is part of multiple SM's",""
"passed","Fri Jun 02 15:27:52 GMT 2023","Fri Jun 02 15:28:23 GMT 2023","31549","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Fri Jun 02 14:50:03 GMT 2023","Fri Jun 02 14:50:36 GMT 2023","33691","","Quoted Text","","Quoted Text","TC563 - To verify ""Show Quoted Text"" is visible in ""Compose"" screen as well and is clickable.","TC563 - To verify ""Show Quoted Text"" is visible in ""Compose"" screen as well and is clickable.",""
"passed","Fri Jun 02 15:07:40 GMT 2023","Fri Jun 02 15:08:15 GMT 2023","35456","","Conversation Search","","Conversation Search","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.","TC531 - To verify that the search results are displayed according to the recent email activity done for conversations.",""
"passed","Fri Jun 02 15:36:06 GMT 2023","Fri Jun 02 15:37:50 GMT 2023","103863","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"passed","Fri Jun 02 15:43:25 GMT 2023","Fri Jun 02 15:44:17 GMT 2023","51923","","Forward","","Forward","TC587 - To verify users are able to ""Forward"" the entire conversation present in the thread.","TC587 - To verify users are able to ""Forward"" the entire conversation present in the thread.",""
"broken","Fri Jun 02 15:09:29 GMT 2023","Fri Jun 02 15:10:12 GMT 2023","42592","","Conversation Search","","Conversation Search","TC535 - To verify search result contains chips representing the first name of the ""Assignee""  and ""Status"" of the conversation.","TC535 - To verify search result contains chips representing the first name of the ""Assignee""  and ""Status"" of the conversation.",""
