"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 02 15:39:03 GMT 2022","Sat Jul 02 15:40:53 GMT 2022","110726","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Sat Jul 02 14:59:00 GMT 2022","Sat Jul 02 14:59:40 GMT 2022","40072","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Sat Jul 02 15:00:45 GMT 2022","Sat Jul 02 15:01:09 GMT 2022","23696","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Sat Jul 02 15:09:41 GMT 2022","Sat Jul 02 15:10:18 GMT 2022","36962","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Sat Jul 02 15:04:02 GMT 2022","Sat Jul 02 15:04:32 GMT 2022","29187","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Sat Jul 02 15:12:53 GMT 2022","Sat Jul 02 15:13:20 GMT 2022","26918","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Sat Jul 02 15:13:21 GMT 2022","Sat Jul 02 15:14:06 GMT 2022","44696","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Sat Jul 02 15:01:38 GMT 2022","Sat Jul 02 15:02:06 GMT 2022","27634","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Sat Jul 02 15:10:19 GMT 2022","Sat Jul 02 15:11:11 GMT 2022","52714","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"failed","Sat Jul 02 15:22:02 GMT 2022","Sat Jul 02 15:22:33 GMT 2022","30895","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Sat Jul 02 15:05:58 GMT 2022","Sat Jul 02 15:06:26 GMT 2022","27330","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Sat Jul 02 15:15:01 GMT 2022","Sat Jul 02 15:15:50 GMT 2022","49145","","Complete Test Suite","","Complete Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Sat Jul 02 15:02:07 GMT 2022","Sat Jul 02 15:02:35 GMT 2022","27431","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Sat Jul 02 15:20:22 GMT 2022","Sat Jul 02 15:21:06 GMT 2022","44521","","Complete Test Suite","","Complete Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Sat Jul 02 15:40:55 GMT 2022","Sat Jul 02 15:42:23 GMT 2022","88317","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Sat Jul 02 15:16:44 GMT 2022","Sat Jul 02 15:17:09 GMT 2022","25153","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sat Jul 02 15:12:06 GMT 2022","Sat Jul 02 15:12:52 GMT 2022","45906","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Sat Jul 02 15:35:58 GMT 2022","Sat Jul 02 15:37:28 GMT 2022","89712","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Sat Jul 02 15:11:12 GMT 2022","Sat Jul 02 15:12:05 GMT 2022","52302","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Sat Jul 02 15:37:29 GMT 2022","Sat Jul 02 15:39:02 GMT 2022","92888","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Sat Jul 02 14:58:40 GMT 2022","Sat Jul 02 14:58:59 GMT 2022","18599","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sat Jul 02 15:05:00 GMT 2022","Sat Jul 02 15:05:27 GMT 2022","26720","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Sat Jul 02 15:07:28 GMT 2022","Sat Jul 02 15:08:02 GMT 2022","33560","","Complete Test Suite","","Complete Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Sat Jul 02 15:02:36 GMT 2022","Sat Jul 02 15:03:06 GMT 2022","30326","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Sat Jul 02 15:30:42 GMT 2022","Sat Jul 02 15:31:31 GMT 2022","49036","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Sat Jul 02 15:08:03 GMT 2022","Sat Jul 02 15:08:46 GMT 2022","43343","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Sat Jul 02 15:32:09 GMT 2022","Sat Jul 02 15:32:56 GMT 2022","46935","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sat Jul 02 15:18:14 GMT 2022","Sat Jul 02 15:18:44 GMT 2022","30130","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Sat Jul 02 15:04:33 GMT 2022","Sat Jul 02 15:04:59 GMT 2022","26559","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Sat Jul 02 14:58:16 GMT 2022","Sat Jul 02 14:58:39 GMT 2022","22603","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sat Jul 02 15:08:48 GMT 2022","Sat Jul 02 15:09:40 GMT 2022","51711","","Complete Test Suite","","Complete Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"failed","Sat Jul 02 15:24:08 GMT 2022","Sat Jul 02 15:24:39 GMT 2022","30774","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Sat Jul 02 15:27:01 GMT 2022","Sat Jul 02 15:28:24 GMT 2022","83116","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Sat Jul 02 15:25:40 GMT 2022","Sat Jul 02 15:27:00 GMT 2022","80266","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Sat Jul 02 15:32:57 GMT 2022","Sat Jul 02 15:34:25 GMT 2022","88516","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Sat Jul 02 15:30:07 GMT 2022","Sat Jul 02 15:30:41 GMT 2022","34039","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sat Jul 02 15:19:13 GMT 2022","Sat Jul 02 15:19:52 GMT 2022","38511","","Complete Test Suite","","Complete Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Sat Jul 02 15:28:25 GMT 2022","Sat Jul 02 15:30:06 GMT 2022","100350","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"failed","Sat Jul 02 15:22:34 GMT 2022","Sat Jul 02 15:23:04 GMT 2022","29768","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"failed","Sat Jul 02 15:23:36 GMT 2022","Sat Jul 02 15:24:07 GMT 2022","30748","","Complete Test Suite","","Complete Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
