"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 08 06:04:41 GMT 2022","Tue Mar 08 06:05:10 GMT 2022","29029","","Login","","Login","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Tue Mar 08 06:12:07 GMT 2022","Tue Mar 08 06:13:05 GMT 2022","58280","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Tue Mar 08 06:03:58 GMT 2022","Tue Mar 08 06:04:40 GMT 2022","41631","","Login","","Login","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"failed","Tue Mar 08 06:03:34 GMT 2022","Tue Mar 08 06:03:57 GMT 2022","22832","","Login","","Login","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"failed","Tue Mar 08 06:13:06 GMT 2022","Tue Mar 08 06:14:15 GMT 2022","68333","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
"passed","Tue Mar 08 06:11:19 GMT 2022","Tue Mar 08 06:12:06 GMT 2022","46661","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Tue Mar 08 06:05:12 GMT 2022","Tue Mar 08 06:06:20 GMT 2022","68070","","Login","","Login","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Tue Mar 08 06:10:34 GMT 2022","Tue Mar 08 06:11:18 GMT 2022","44174","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Tue Mar 08 06:08:11 GMT 2022","Tue Mar 08 06:08:57 GMT 2022","46517","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"passed","Tue Mar 08 06:16:41 GMT 2022","Tue Mar 08 06:17:35 GMT 2022","54499","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Tue Mar 08 06:09:45 GMT 2022","Tue Mar 08 06:10:32 GMT 2022","47680","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Tue Mar 08 06:06:21 GMT 2022","Tue Mar 08 06:07:44 GMT 2022","82929","","Login","","Login","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Tue Mar 08 06:17:36 GMT 2022","Tue Mar 08 06:18:43 GMT 2022","66473","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"passed","Tue Mar 08 06:08:58 GMT 2022","Tue Mar 08 06:09:44 GMT 2022","45124","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"passed","Tue Mar 08 06:15:39 GMT 2022","Tue Mar 08 06:16:39 GMT 2022","59935","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"broken","Tue Mar 08 06:14:16 GMT 2022","Tue Mar 08 06:15:38 GMT 2022","82409","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
