"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 17 15:06:44 GMT 2022","Fri Jun 17 15:07:12 GMT 2022","28087","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Jun 17 15:23:14 GMT 2022","Fri Jun 17 15:23:46 GMT 2022","31974","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Fri Jun 17 15:26:12 GMT 2022","Fri Jun 17 15:26:44 GMT 2022","31741","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Fri Jun 17 15:27:27 GMT 2022","Fri Jun 17 15:28:05 GMT 2022","37659","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"broken","Fri Jun 17 15:39:41 GMT 2022","Fri Jun 17 15:40:13 GMT 2022","31475","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Fri Jun 17 15:32:21 GMT 2022","Fri Jun 17 15:33:00 GMT 2022","39623","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Fri Jun 17 15:16:36 GMT 2022","Fri Jun 17 15:17:39 GMT 2022","63088","","Complete Test Suite","","Complete Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Fri Jun 17 15:21:44 GMT 2022","Fri Jun 17 15:22:16 GMT 2022","31261","","Complete Test Suite","","Complete Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Jun 17 15:07:48 GMT 2022","Fri Jun 17 15:08:22 GMT 2022","34315","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Jun 17 15:10:09 GMT 2022","Fri Jun 17 15:10:40 GMT 2022","30784","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Fri Jun 17 15:40:14 GMT 2022","Fri Jun 17 15:40:45 GMT 2022","30897","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Fri Jun 17 15:08:24 GMT 2022","Fri Jun 17 15:08:57 GMT 2022","33703","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Fri Jun 17 15:38:37 GMT 2022","Fri Jun 17 15:39:08 GMT 2022","31483","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Fri Jun 17 15:10:42 GMT 2022","Fri Jun 17 15:11:18 GMT 2022","35828","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"passed","Fri Jun 17 15:20:43 GMT 2022","Fri Jun 17 15:21:43 GMT 2022","59843","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Fri Jun 17 15:31:33 GMT 2022","Fri Jun 17 15:32:19 GMT 2022","46246","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Fri Jun 17 15:28:41 GMT 2022","Fri Jun 17 15:29:21 GMT 2022","39603","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Fri Jun 17 15:25:04 GMT 2022","Fri Jun 17 15:25:36 GMT 2022","31841","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Fri Jun 17 15:11:53 GMT 2022","Fri Jun 17 15:12:25 GMT 2022","32449","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Fri Jun 17 15:15:38 GMT 2022","Fri Jun 17 15:16:34 GMT 2022","56663","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Fri Jun 17 15:04:03 GMT 2022","Fri Jun 17 15:04:27 GMT 2022","24162","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Fri Jun 17 15:30:51 GMT 2022","Fri Jun 17 15:31:31 GMT 2022","40468","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Fri Jun 17 15:19:37 GMT 2022","Fri Jun 17 15:20:42 GMT 2022","64195","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Fri Jun 17 15:14:18 GMT 2022","Fri Jun 17 15:14:56 GMT 2022","38441","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Fri Jun 17 15:25:37 GMT 2022","Fri Jun 17 15:26:11 GMT 2022","33200","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Fri Jun 17 15:26:45 GMT 2022","Fri Jun 17 15:27:26 GMT 2022","40898","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Jun 17 15:04:28 GMT 2022","Fri Jun 17 15:04:48 GMT 2022","19439","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"broken","Fri Jun 17 15:33:39 GMT 2022","Fri Jun 17 15:34:10 GMT 2022","31015","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Fri Jun 17 15:41:19 GMT 2022","Fri Jun 17 15:41:50 GMT 2022","30741","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Fri Jun 17 15:35:16 GMT 2022","Fri Jun 17 15:35:54 GMT 2022","38266","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Fri Jun 17 15:11:19 GMT 2022","Fri Jun 17 15:11:51 GMT 2022","32332","","Complete Test Suite","","Complete Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Jun 17 15:35:55 GMT 2022","Fri Jun 17 15:36:56 GMT 2022","60879","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"broken","Fri Jun 17 15:34:11 GMT 2022","Fri Jun 17 15:34:42 GMT 2022","30400","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Fri Jun 17 15:40:46 GMT 2022","Fri Jun 17 15:41:18 GMT 2022","31587","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Fri Jun 17 15:14:58 GMT 2022","Fri Jun 17 15:15:36 GMT 2022","38825","","Complete Test Suite","","Complete Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Fri Jun 17 15:04:49 GMT 2022","Fri Jun 17 15:05:36 GMT 2022","46787","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Jun 17 15:09:36 GMT 2022","Fri Jun 17 15:10:08 GMT 2022","31697","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Fri Jun 17 15:36:58 GMT 2022","Fri Jun 17 15:37:39 GMT 2022","41248","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Fri Jun 17 15:37:41 GMT 2022","Fri Jun 17 15:38:35 GMT 2022","54608","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Jun 17 15:30:05 GMT 2022","Fri Jun 17 15:30:49 GMT 2022","44290","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Fri Jun 17 15:07:14 GMT 2022","Fri Jun 17 15:07:47 GMT 2022","32698","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Jun 17 15:33:02 GMT 2022","Fri Jun 17 15:33:38 GMT 2022","36109","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Fri Jun 17 15:17:41 GMT 2022","Fri Jun 17 15:18:28 GMT 2022","47268","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"broken","Fri Jun 17 15:41:52 GMT 2022","Fri Jun 17 15:42:32 GMT 2022","40005","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Fri Jun 17 15:22:17 GMT 2022","Fri Jun 17 15:23:13 GMT 2022","55593","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri Jun 17 15:05:38 GMT 2022","Fri Jun 17 15:06:43 GMT 2022","65428","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Fri Jun 17 15:28:07 GMT 2022","Fri Jun 17 15:28:39 GMT 2022","32866","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Jun 17 15:43:15 GMT 2022","Fri Jun 17 15:43:42 GMT 2022","27217","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Fri Jun 17 15:34:43 GMT 2022","Fri Jun 17 15:35:14 GMT 2022","31126","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
