"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 05:11:01 GMT 2023","Wed Nov 15 05:11:27 GMT 2023","26286","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Wed Nov 15 05:33:49 GMT 2023","Wed Nov 15 05:34:23 GMT 2023","33805","","Inbox Suite","","Inbox Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Wed Nov 15 06:10:17 GMT 2023","Wed Nov 15 06:11:16 GMT 2023","59255","","Activity Panel and Notes","","Activity Panel and Notes","TC289- Verify that user is taken to activity screen on opening a notification related to activity","TC289- Verify that user is taken to activity screen on opening a notification related to activity",""
"passed","Wed Nov 15 05:55:37 GMT 2023","Wed Nov 15 05:56:00 GMT 2023","22476","","Forward","","Forward","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"passed","Wed Nov 15 06:01:25 GMT 2023","Wed Nov 15 06:03:00 GMT 2023","94684","","Activity Panel and Notes","","Activity Panel and Notes","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ","TC43- Verify that if a note is a response to an existing note, user should be able to see only one level of threading ",""
"passed","Wed Nov 15 05:25:21 GMT 2023","Wed Nov 15 05:25:46 GMT 2023","24896","","Inbox Suite","","Inbox Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Wed Nov 15 05:43:51 GMT 2023","Wed Nov 15 05:44:17 GMT 2023","25714","","Email Templates","","Email Templates","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".","TC321 - Verify that user is able to see all the templates on Tapping ""Use email templates"".",""
"broken","Wed Nov 15 05:50:36 GMT 2023","Wed Nov 15 05:51:31 GMT 2023","54402","","Quoted Text","","Quoted Text","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen","TC566 - To verify quoted text gets removed/deleted from the compose screen if user clicks on ""Remove"" link in compose screen",""
"passed","Wed Nov 15 06:00:29 GMT 2023","Wed Nov 15 06:01:25 GMT 2023","56077","","Activity Panel and Notes","","Activity Panel and Notes","TC39- Verify that user is able to see the count of notes on the footer of the conversation as well as on Activity Panel.","TC39- Verify that user is able to see the count of notes on the footer of the conversation as well as on Activity Panel.",""
"passed","Wed Nov 15 05:52:34 GMT 2023","Wed Nov 15 05:53:20 GMT 2023","46514","","Forward","","Forward","TC587 - To verify users are able to ""Forward"" the entire conversation present in the thread.","TC587 - To verify users are able to ""Forward"" the entire conversation present in the thread.",""
"passed","Wed Nov 15 05:22:20 GMT 2023","Wed Nov 15 05:22:46 GMT 2023","25324","","Inbox Suite","","Inbox Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"broken","Wed Nov 15 05:32:23 GMT 2023","Wed Nov 15 05:33:49 GMT 2023","86056","","Inbox Suite","","Inbox Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Nov 15 05:46:16 GMT 2023","Wed Nov 15 05:46:53 GMT 2023","36922","","Email Templates","","Email Templates","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".","TC335 - To verify email templates are inserted into the mail body if user fills details for placeholders."".",""
"passed","Wed Nov 15 05:53:20 GMT 2023","Wed Nov 15 05:53:43 GMT 2023","22321","","Forward","","Forward","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"passed","Wed Nov 15 05:51:31 GMT 2023","Wed Nov 15 05:51:57 GMT 2023","26359","","Quoted Text","","Quoted Text","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached","TC567 - To verify click on the ""Reply"" or ""Reply all"" quoted text will automatically be attached",""
"passed","Wed Nov 15 05:14:37 GMT 2023","Wed Nov 15 05:14:59 GMT 2023","22092","","leftAndRightPanel","","leftAndRightPanel","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
