"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 10 15:24:36 GMT 2022","Fri Jun 10 15:25:16 GMT 2022","39351","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Fri Jun 10 15:12:20 GMT 2022","Fri Jun 10 15:12:50 GMT 2022","30579","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Jun 10 15:11:08 GMT 2022","Fri Jun 10 15:11:44 GMT 2022","36199","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Fri Jun 10 15:01:16 GMT 2022","Fri Jun 10 15:02:01 GMT 2022","45107","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Jun 10 15:16:39 GMT 2022","Fri Jun 10 15:17:11 GMT 2022","32505","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Fri Jun 10 15:23:07 GMT 2022","Fri Jun 10 15:23:36 GMT 2022","28201","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Fri Jun 10 15:16:03 GMT 2022","Fri Jun 10 15:16:37 GMT 2022","34615","","Complete Test Suite","","Complete Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Fri Jun 10 15:20:15 GMT 2022","Fri Jun 10 15:20:55 GMT 2022","40107","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Fri Jun 10 15:02:03 GMT 2022","Fri Jun 10 15:03:07 GMT 2022","64824","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Fri Jun 10 15:20:56 GMT 2022","Fri Jun 10 15:21:38 GMT 2022","41923","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Jun 10 15:05:45 GMT 2022","Fri Jun 10 15:06:15 GMT 2022","29347","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Fri Jun 10 15:23:37 GMT 2022","Fri Jun 10 15:24:05 GMT 2022","28617","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Fri Jun 10 15:00:17 GMT 2022","Fri Jun 10 15:00:29 GMT 2022","12528","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"failed","Fri Jun 10 15:15:25 GMT 2022","Fri Jun 10 15:16:02 GMT 2022","36902","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Fri Jun 10 15:19:18 GMT 2022","Fri Jun 10 15:20:13 GMT 2022","54970","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Fri Jun 10 15:03:09 GMT 2022","Fri Jun 10 15:03:35 GMT 2022","26497","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"broken","Fri Jun 10 15:22:38 GMT 2022","Fri Jun 10 15:23:06 GMT 2022","28534","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"failed","Fri Jun 10 15:14:46 GMT 2022","Fri Jun 10 15:15:23 GMT 2022","37745","","Complete Test Suite","","Complete Test Suite","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC660 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Fri Jun 10 15:03:36 GMT 2022","Fri Jun 10 15:04:08 GMT 2022","31070","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"broken","Fri Jun 10 15:18:12 GMT 2022","Fri Jun 10 15:18:40 GMT 2022","28637","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Fri Jun 10 15:04:41 GMT 2022","Fri Jun 10 15:05:14 GMT 2022","33443","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"broken","Fri Jun 10 15:17:42 GMT 2022","Fri Jun 10 15:18:11 GMT 2022","28264","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Fri Jun 10 15:11:46 GMT 2022","Fri Jun 10 15:12:18 GMT 2022","32915","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Fri Jun 10 15:06:16 GMT 2022","Fri Jun 10 15:06:46 GMT 2022","29560","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
