"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 14:49:17 GMT 2023","Tue Aug 01 14:50:17 GMT 2023","59663","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Tue Aug 01 15:01:18 GMT 2023","Tue Aug 01 15:02:18 GMT 2023","59592","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Tue Aug 01 15:09:39 GMT 2023","Tue Aug 01 15:10:34 GMT 2023","55111","","Permalinks","","Permalinks","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel",""
"passed","Tue Aug 01 14:52:36 GMT 2023","Tue Aug 01 14:53:28 GMT 2023","51660","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Tue Aug 01 15:00:01 GMT 2023","Tue Aug 01 15:01:16 GMT 2023","75299","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Tue Aug 01 15:02:20 GMT 2023","Tue Aug 01 15:03:21 GMT 2023","61542","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Tue Aug 01 15:14:55 GMT 2023","Tue Aug 01 15:15:50 GMT 2023","54913","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Tue Aug 01 15:03:23 GMT 2023","Tue Aug 01 15:05:35 GMT 2023","132161","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Tue Aug 01 15:10:35 GMT 2023","Tue Aug 01 15:12:40 GMT 2023","124892","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Tue Aug 01 14:45:08 GMT 2023","Tue Aug 01 14:45:59 GMT 2023","50878","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
