"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 28 03:33:20 GMT 2022","Wed Dec 28 03:35:09 GMT 2022","109522","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"broken","Wed Dec 28 03:40:35 GMT 2022","Wed Dec 28 03:41:32 GMT 2022","57665","","Inbox Test Suite","","Inbox Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Wed Dec 28 03:00:51 GMT 2022","Wed Dec 28 03:01:18 GMT 2022","26721","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Wed Dec 28 03:21:11 GMT 2022","Wed Dec 28 03:22:05 GMT 2022","54755","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Wed Dec 28 03:25:51 GMT 2022","Wed Dec 28 03:26:22 GMT 2022","30681","","Inbox Test Suite","","Inbox Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Wed Dec 28 03:38:06 GMT 2022","Wed Dec 28 03:40:32 GMT 2022","146709","","Inbox Test Suite","","Inbox Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"broken","Wed Dec 28 03:19:08 GMT 2022","Wed Dec 28 03:19:56 GMT 2022","47871","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"broken","Wed Dec 28 03:43:49 GMT 2022","Wed Dec 28 03:44:17 GMT 2022","28504","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Dec 28 03:16:36 GMT 2022","Wed Dec 28 03:17:02 GMT 2022","26093","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Wed Dec 28 02:57:32 GMT 2022","Wed Dec 28 02:57:54 GMT 2022","21765","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Wed Dec 28 03:24:48 GMT 2022","Wed Dec 28 03:25:18 GMT 2022","30134","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Wed Dec 28 03:47:23 GMT 2022","Wed Dec 28 03:48:54 GMT 2022","90426","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Wed Dec 28 03:41:33 GMT 2022","Wed Dec 28 03:42:14 GMT 2022","40890","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Wed Dec 28 03:53:31 GMT 2022","Wed Dec 28 03:55:02 GMT 2022","90949","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Wed Dec 28 03:13:56 GMT 2022","Wed Dec 28 03:14:21 GMT 2022","24244","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Wed Dec 28 03:56:16 GMT 2022","Wed Dec 28 03:56:41 GMT 2022","24278","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Wed Dec 28 03:13:10 GMT 2022","Wed Dec 28 03:13:55 GMT 2022","45056","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Wed Dec 28 03:28:14 GMT 2022","Wed Dec 28 03:28:40 GMT 2022","26373","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Wed Dec 28 03:01:45 GMT 2022","Wed Dec 28 03:02:28 GMT 2022","43332","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"broken","Wed Dec 28 03:45:51 GMT 2022","Wed Dec 28 03:47:22 GMT 2022","91336","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Wed Dec 28 03:12:42 GMT 2022","Wed Dec 28 03:13:09 GMT 2022","26808","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Wed Dec 28 03:17:28 GMT 2022","Wed Dec 28 03:18:18 GMT 2022","49805","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Wed Dec 28 03:24:20 GMT 2022","Wed Dec 28 03:24:47 GMT 2022","26585","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Wed Dec 28 03:44:18 GMT 2022","Wed Dec 28 03:45:50 GMT 2022","91699","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Wed Dec 28 03:26:23 GMT 2022","Wed Dec 28 03:26:53 GMT 2022","29325","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Wed Dec 28 03:17:03 GMT 2022","Wed Dec 28 03:17:27 GMT 2022","24433","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Wed Dec 28 03:11:05 GMT 2022","Wed Dec 28 03:11:56 GMT 2022","51535","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"broken","Wed Dec 28 03:28:41 GMT 2022","Wed Dec 28 03:30:15 GMT 2022","93312","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Wed Dec 28 03:01:19 GMT 2022","Wed Dec 28 03:01:44 GMT 2022","25411","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Wed Dec 28 03:07:18 GMT 2022","Wed Dec 28 03:07:52 GMT 2022","33592","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Wed Dec 28 03:14:51 GMT 2022","Wed Dec 28 03:15:41 GMT 2022","49658","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"broken","Wed Dec 28 03:35:10 GMT 2022","Wed Dec 28 03:37:14 GMT 2022","123273","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"broken","Wed Dec 28 03:31:49 GMT 2022","Wed Dec 28 03:33:19 GMT 2022","89452","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Wed Dec 28 03:09:31 GMT 2022","Wed Dec 28 03:10:08 GMT 2022","37571","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"broken","Wed Dec 28 03:52:00 GMT 2022","Wed Dec 28 03:53:30 GMT 2022","89712","","Inbox Test Suite","","Inbox Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"passed","Wed Dec 28 03:22:54 GMT 2022","Wed Dec 28 03:23:43 GMT 2022","49645","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"broken","Wed Dec 28 03:55:03 GMT 2022","Wed Dec 28 03:55:38 GMT 2022","35623","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Wed Dec 28 03:02:30 GMT 2022","Wed Dec 28 03:02:56 GMT 2022","26342","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Wed Dec 28 02:58:55 GMT 2022","Wed Dec 28 02:59:58 GMT 2022","62543","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Wed Dec 28 03:30:16 GMT 2022","Wed Dec 28 03:31:48 GMT 2022","92277","","Inbox Test Suite","","Inbox Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Wed Dec 28 03:00:24 GMT 2022","Wed Dec 28 03:00:50 GMT 2022","25569","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Wed Dec 28 03:25:19 GMT 2022","Wed Dec 28 03:25:50 GMT 2022","31034","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Wed Dec 28 03:11:57 GMT 2022","Wed Dec 28 03:12:41 GMT 2022","43825","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Wed Dec 28 03:05:36 GMT 2022","Wed Dec 28 03:06:03 GMT 2022","27309","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Wed Dec 28 03:02:57 GMT 2022","Wed Dec 28 03:03:22 GMT 2022","25067","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Wed Dec 28 03:22:07 GMT 2022","Wed Dec 28 03:22:53 GMT 2022","45944","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"broken","Wed Dec 28 03:06:04 GMT 2022","Wed Dec 28 03:06:45 GMT 2022","40659","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Wed Dec 28 03:26:54 GMT 2022","Wed Dec 28 03:27:41 GMT 2022","47394","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Wed Dec 28 03:20:36 GMT 2022","Wed Dec 28 03:21:10 GMT 2022","33736","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Dec 28 02:57:19 GMT 2022","Wed Dec 28 02:57:31 GMT 2022","11545","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Wed Dec 28 03:19:57 GMT 2022","Wed Dec 28 03:20:35 GMT 2022","37434","","Inbox Test Suite","","Inbox Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Wed Dec 28 03:08:38 GMT 2022","Wed Dec 28 03:09:30 GMT 2022","51321","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Wed Dec 28 03:16:09 GMT 2022","Wed Dec 28 03:16:34 GMT 2022","25408","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Wed Dec 28 02:57:55 GMT 2022","Wed Dec 28 02:58:13 GMT 2022","18289","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"broken","Wed Dec 28 03:55:39 GMT 2022","Wed Dec 28 03:56:15 GMT 2022","35975","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Wed Dec 28 03:14:22 GMT 2022","Wed Dec 28 03:14:50 GMT 2022","28586","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Wed Dec 28 03:23:45 GMT 2022","Wed Dec 28 03:24:19 GMT 2022","34137","","Inbox Test Suite","","Inbox Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Wed Dec 28 03:06:46 GMT 2022","Wed Dec 28 03:07:17 GMT 2022","31395","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Wed Dec 28 03:07:53 GMT 2022","Wed Dec 28 03:08:37 GMT 2022","44216","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
