"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 14:52:05 GMT 2023","Wed Jul 19 14:52:50 GMT 2023","45350","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Wed Jul 19 14:49:06 GMT 2023","Wed Jul 19 14:49:57 GMT 2023","51688","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Wed Jul 19 15:00:09 GMT 2023","Wed Jul 19 15:01:02 GMT 2023","52358","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Wed Jul 19 15:01:03 GMT 2023","Wed Jul 19 15:02:49 GMT 2023","106346","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Wed Jul 19 14:59:16 GMT 2023","Wed Jul 19 15:00:08 GMT 2023","51670","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Wed Jul 19 14:48:13 GMT 2023","Wed Jul 19 14:49:04 GMT 2023","51761","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Wed Jul 19 14:41:39 GMT 2023","Wed Jul 19 14:43:54 GMT 2023","134760","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Wed Jul 19 15:07:02 GMT 2023","Wed Jul 19 15:08:45 GMT 2023","102970","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Wed Jul 19 14:54:46 GMT 2023","Wed Jul 19 14:58:15 GMT 2023","209846","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Wed Jul 19 14:49:59 GMT 2023","Wed Jul 19 14:50:57 GMT 2023","58852","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Wed Jul 19 14:44:40 GMT 2023","Wed Jul 19 14:45:26 GMT 2023","45814","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"broken","Wed Jul 19 14:52:51 GMT 2023","Wed Jul 19 14:53:55 GMT 2023","63592","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Wed Jul 19 15:03:43 GMT 2023","Wed Jul 19 15:05:27 GMT 2023","103502","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
"passed","Wed Jul 19 14:58:17 GMT 2023","Wed Jul 19 14:59:15 GMT 2023","58586","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Wed Jul 19 15:02:50 GMT 2023","Wed Jul 19 15:03:42 GMT 2023","51696","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Wed Jul 19 15:08:46 GMT 2023","Wed Jul 19 15:10:28 GMT 2023","101758","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Wed Jul 19 14:45:28 GMT 2023","Wed Jul 19 14:46:13 GMT 2023","45364","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Wed Jul 19 15:10:29 GMT 2023","Wed Jul 19 15:11:16 GMT 2023","46562","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Wed Jul 19 14:53:56 GMT 2023","Wed Jul 19 14:54:45 GMT 2023","48704","","Permalinks","","Permalinks","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.","TC715 - To verify ""Public Permalink Generate"" option is disabled If an SM or UG configuration does not allow users to create public permalink.",""
"passed","Wed Jul 19 14:46:14 GMT 2023","Wed Jul 19 14:47:13 GMT 2023","58444","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"broken","Wed Jul 19 14:50:58 GMT 2023","Wed Jul 19 14:52:04 GMT 2023","65164","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Wed Jul 19 15:06:14 GMT 2023","Wed Jul 19 15:07:01 GMT 2023","47025","","Permalinks","","Permalinks","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel",""
"passed","Wed Jul 19 15:05:28 GMT 2023","Wed Jul 19 15:06:13 GMT 2023","44878","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"passed","Wed Jul 19 14:47:14 GMT 2023","Wed Jul 19 14:48:12 GMT 2023","57798","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Wed Jul 19 15:11:17 GMT 2023","Wed Jul 19 15:12:03 GMT 2023","45844","","Permalinks","","Permalinks","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel","TC700 - To verify the deletion of a public permalink should be reflected in the activity panel",""
"passed","Wed Jul 19 14:43:55 GMT 2023","Wed Jul 19 14:44:39 GMT 2023","44388","","Permalinks","","Permalinks","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM","TC691 - To verify ""Permalink icon"" is visible/present for conversation belonging to SM/ Inbox + SM",""
