"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 05 15:15:03 GMT 2022","Sun Jun 05 15:15:44 GMT 2022","41022","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"broken","Sun Jun 05 15:36:12 GMT 2022","Sun Jun 05 15:36:56 GMT 2022","43967","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Sun Jun 05 15:08:46 GMT 2022","Sun Jun 05 15:09:19 GMT 2022","33621","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Sun Jun 05 15:07:52 GMT 2022","Sun Jun 05 15:08:44 GMT 2022","52160","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"broken","Sun Jun 05 15:20:06 GMT 2022","Sun Jun 05 15:21:54 GMT 2022","108118","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Sun Jun 05 15:29:59 GMT 2022","Sun Jun 05 15:31:48 GMT 2022","108571","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Sun Jun 05 15:01:25 GMT 2022","Sun Jun 05 15:02:10 GMT 2022","44617","","Complete Test Suite","","Complete Test Suite","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Sun Jun 05 15:28:13 GMT 2022","Sun Jun 05 15:29:58 GMT 2022","104899","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Sun Jun 05 14:56:02 GMT 2022","Sun Jun 05 14:56:33 GMT 2022","31651","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Sun Jun 05 15:06:27 GMT 2022","Sun Jun 05 15:07:11 GMT 2022","44358","","Complete Test Suite","","Complete Test Suite","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"broken","Sun Jun 05 15:00:40 GMT 2022","Sun Jun 05 15:01:24 GMT 2022","44013","","Complete Test Suite","","Complete Test Suite","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Sun Jun 05 15:10:09 GMT 2022","Sun Jun 05 15:10:43 GMT 2022","34448","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
