"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:25:43 GMT 2022","Wed Jun 29 15:26:39 GMT 2022","55691","","Complete Test Suite","","Complete Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"broken","Wed Jun 29 15:40:10 GMT 2022","Wed Jun 29 15:40:50 GMT 2022","39242","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Wed Jun 29 15:02:59 GMT 2022","Wed Jun 29 15:03:17 GMT 2022","18582","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Wed Jun 29 15:32:31 GMT 2022","Wed Jun 29 15:32:58 GMT 2022","27866","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Wed Jun 29 15:04:03 GMT 2022","Wed Jun 29 15:05:06 GMT 2022","63024","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Jun 29 15:06:07 GMT 2022","Wed Jun 29 15:06:34 GMT 2022","27397","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"broken","Wed Jun 29 15:21:48 GMT 2022","Wed Jun 29 15:22:23 GMT 2022","34996","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Wed Jun 29 15:10:23 GMT 2022","Wed Jun 29 15:10:51 GMT 2022","27822","","Complete Test Suite","","Complete Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Wed Jun 29 15:10:53 GMT 2022","Wed Jun 29 15:11:21 GMT 2022","28637","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Wed Jun 29 15:31:15 GMT 2022","Wed Jun 29 15:31:58 GMT 2022","42794","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
