"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 27 15:49:30 GMT 2023","Mon Mar 27 15:50:12 GMT 2023","41409","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Mon Mar 27 15:57:15 GMT 2023","Mon Mar 27 15:57:42 GMT 2023","26754","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Mon Mar 27 16:00:24 GMT 2023","Mon Mar 27 16:00:51 GMT 2023","26690","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Mon Mar 27 16:07:05 GMT 2023","Mon Mar 27 16:07:36 GMT 2023","30274","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Mon Mar 27 16:06:31 GMT 2023","Mon Mar 27 16:07:04 GMT 2023","32794","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Mon Mar 27 16:08:07 GMT 2023","Mon Mar 27 16:09:31 GMT 2023","83559","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Mon Mar 27 16:19:37 GMT 2023","Mon Mar 27 16:20:11 GMT 2023","33312","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Mon Mar 27 15:57:43 GMT 2023","Mon Mar 27 15:58:25 GMT 2023","41741","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Mon Mar 27 16:04:07 GMT 2023","Mon Mar 27 16:04:38 GMT 2023","31329","","Inbox Test Suite","","Inbox Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Mon Mar 27 16:13:04 GMT 2023","Mon Mar 27 16:14:39 GMT 2023","94103","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Mon Mar 27 15:50:13 GMT 2023","Mon Mar 27 15:51:06 GMT 2023","53786","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Mon Mar 27 16:05:55 GMT 2023","Mon Mar 27 16:06:30 GMT 2023","35458","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Mon Mar 27 15:56:20 GMT 2023","Mon Mar 27 15:56:46 GMT 2023","26241","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Mon Mar 27 15:48:37 GMT 2023","Mon Mar 27 15:49:29 GMT 2023","51935","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Mon Mar 27 16:04:39 GMT 2023","Mon Mar 27 16:05:21 GMT 2023","41666","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Mon Mar 27 16:00:52 GMT 2023","Mon Mar 27 16:01:35 GMT 2023","42642","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Mon Mar 27 15:38:39 GMT 2023","Mon Mar 27 15:39:19 GMT 2023","40203","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
