"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 06:55:24 GMT 2022","Wed Jun 08 06:55:48 GMT 2022","24695","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Wed Jun 08 06:55:49 GMT 2022","Wed Jun 08 06:56:13 GMT 2022","23819","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Wed Jun 08 06:53:12 GMT 2022","Wed Jun 08 06:53:55 GMT 2022","42582","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Wed Jun 08 06:51:31 GMT 2022","Wed Jun 08 06:52:04 GMT 2022","32378","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Wed Jun 08 06:40:42 GMT 2022","Wed Jun 08 06:41:06 GMT 2022","24628","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Wed Jun 08 06:57:06 GMT 2022","Wed Jun 08 06:57:31 GMT 2022","24546","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Wed Jun 08 06:41:08 GMT 2022","Wed Jun 08 06:41:36 GMT 2022","28653","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Wed Jun 08 06:46:27 GMT 2022","Wed Jun 08 06:46:53 GMT 2022","26253","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"broken","Wed Jun 08 06:54:39 GMT 2022","Wed Jun 08 06:55:22 GMT 2022","42839","","Complete Test Suite","","Complete Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"broken","Wed Jun 08 06:52:05 GMT 2022","Wed Jun 08 06:52:38 GMT 2022","32904","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Wed Jun 08 06:44:07 GMT 2022","Wed Jun 08 06:44:31 GMT 2022","24911","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Wed Jun 08 06:37:07 GMT 2022","Wed Jun 08 06:37:48 GMT 2022","40853","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Wed Jun 08 06:43:35 GMT 2022","Wed Jun 08 06:44:05 GMT 2022","30253","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Wed Jun 08 06:46:54 GMT 2022","Wed Jun 08 06:47:25 GMT 2022","30988","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"passed","Wed Jun 08 06:44:33 GMT 2022","Wed Jun 08 06:44:58 GMT 2022","25737","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Wed Jun 08 06:49:04 GMT 2022","Wed Jun 08 06:49:39 GMT 2022","34667","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Wed Jun 08 06:39:44 GMT 2022","Wed Jun 08 06:40:11 GMT 2022","27182","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Wed Jun 08 06:39:17 GMT 2022","Wed Jun 08 06:39:43 GMT 2022","26219","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Wed Jun 08 06:37:49 GMT 2022","Wed Jun 08 06:38:51 GMT 2022","62185","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Wed Jun 08 06:38:53 GMT 2022","Wed Jun 08 06:39:16 GMT 2022","23140","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"broken","Wed Jun 08 06:58:08 GMT 2022","Wed Jun 08 06:58:42 GMT 2022","34207","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"failed","Wed Jun 08 06:36:11 GMT 2022","Wed Jun 08 06:36:23 GMT 2022","12229","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Wed Jun 08 06:50:11 GMT 2022","Wed Jun 08 06:50:39 GMT 2022","27931","","Complete Test Suite","","Complete Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Wed Jun 08 06:47:26 GMT 2022","Wed Jun 08 06:47:58 GMT 2022","31309","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Wed Jun 08 06:42:41 GMT 2022","Wed Jun 08 06:43:08 GMT 2022","26813","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Wed Jun 08 06:53:56 GMT 2022","Wed Jun 08 06:54:38 GMT 2022","42561","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Wed Jun 08 06:51:07 GMT 2022","Wed Jun 08 06:51:30 GMT 2022","23621","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"passed","Wed Jun 08 06:44:59 GMT 2022","Wed Jun 08 06:45:25 GMT 2022","25130","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Wed Jun 08 06:56:14 GMT 2022","Wed Jun 08 06:56:39 GMT 2022","24877","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"broken","Wed Jun 08 06:50:40 GMT 2022","Wed Jun 08 06:51:06 GMT 2022","25056","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
