"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 10 15:03:06 GMT 2022","Sun Jul 10 15:03:56 GMT 2022","49336","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Sun Jul 10 14:50:47 GMT 2022","Sun Jul 10 14:51:09 GMT 2022","22362","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Sun Jul 10 14:53:44 GMT 2022","Sun Jul 10 14:54:09 GMT 2022","25276","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"broken","Sun Jul 10 14:51:10 GMT 2022","Sun Jul 10 14:51:34 GMT 2022","24074","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sun Jul 10 15:00:10 GMT 2022","Sun Jul 10 15:00:50 GMT 2022","39506","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Sun Jul 10 14:50:34 GMT 2022","Sun Jul 10 14:50:46 GMT 2022","11583","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sun Jul 10 15:22:44 GMT 2022","Sun Jul 10 15:24:05 GMT 2022","80650","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Sun Jul 10 14:55:57 GMT 2022","Sun Jul 10 14:56:21 GMT 2022","23962","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Sun Jul 10 15:03:57 GMT 2022","Sun Jul 10 15:04:39 GMT 2022","42662","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Sun Jul 10 15:05:51 GMT 2022","Sun Jul 10 15:06:14 GMT 2022","23335","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Sun Jul 10 15:31:55 GMT 2022","Sun Jul 10 15:32:19 GMT 2022","23972","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Sun Jul 10 15:07:51 GMT 2022","Sun Jul 10 15:08:15 GMT 2022","23112","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Sun Jul 10 15:12:50 GMT 2022","Sun Jul 10 15:13:15 GMT 2022","24477","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Sun Jul 10 15:14:14 GMT 2022","Sun Jul 10 15:14:43 GMT 2022","28952","","Complete Test Suite","","Complete Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Sun Jul 10 15:17:54 GMT 2022","Sun Jul 10 15:19:15 GMT 2022","80804","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
