"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 11:14:49 GMT 2022","Mon Sep 12 11:15:16 GMT 2022","27027","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Mon Sep 12 11:25:36 GMT 2022","Mon Sep 12 11:26:20 GMT 2022","44064","","Inbox Test Suite","","Inbox Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"passed","Mon Sep 12 11:18:46 GMT 2022","Mon Sep 12 11:19:31 GMT 2022","45140","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Mon Sep 12 11:21:33 GMT 2022","Mon Sep 12 11:22:02 GMT 2022","28793","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward","TC647 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"passed","Mon Sep 12 11:01:25 GMT 2022","Mon Sep 12 11:01:55 GMT 2022","30001","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Mon Sep 12 10:57:52 GMT 2022","Mon Sep 12 10:58:14 GMT 2022","22369","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Mon Sep 12 11:18:18 GMT 2022","Mon Sep 12 11:18:45 GMT 2022","26730","","Inbox Test Suite","","Inbox Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Mon Sep 12 11:33:58 GMT 2022","Mon Sep 12 11:35:24 GMT 2022","86321","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Mon Sep 12 11:00:26 GMT 2022","Mon Sep 12 11:00:52 GMT 2022","25431","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Mon Sep 12 11:42:49 GMT 2022","Mon Sep 12 11:44:18 GMT 2022","88978","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Mon Sep 12 11:32:10 GMT 2022","Mon Sep 12 11:33:56 GMT 2022","106777","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Mon Sep 12 11:10:05 GMT 2022","Mon Sep 12 11:10:45 GMT 2022","39598","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Mon Sep 12 11:15:17 GMT 2022","Mon Sep 12 11:15:47 GMT 2022","30183","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Mon Sep 12 11:27:30 GMT 2022","Mon Sep 12 11:28:06 GMT 2022","36065","","Inbox Test Suite","","Inbox Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"passed","Mon Sep 12 11:28:41 GMT 2022","Mon Sep 12 11:29:11 GMT 2022","30472","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Mon Sep 12 11:07:39 GMT 2022","Mon Sep 12 11:08:15 GMT 2022","36271","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Mon Sep 12 11:04:59 GMT 2022","Mon Sep 12 11:05:27 GMT 2022","28760","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"passed","Mon Sep 12 11:22:03 GMT 2022","Mon Sep 12 11:22:43 GMT 2022","39964","","Inbox Test Suite","","Inbox Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"passed","Mon Sep 12 11:16:50 GMT 2022","Mon Sep 12 11:17:18 GMT 2022","28436","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Mon Sep 12 11:20:22 GMT 2022","Mon Sep 12 11:20:59 GMT 2022","36885","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
