"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC260- Verify that user is shown error message on trying to login to app without signup","TC260- Verify that user is shown error message on trying to login to app without signup",""
"broken","Tue Feb 22 11:31:47 GMT 2022","Tue Feb 22 11:32:53 GMT 2022","66205","","Login","","Login","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app",""
"passed","Tue Feb 22 11:27:55 GMT 2022","Tue Feb 22 11:28:23 GMT 2022","28438","","Login","","Login","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"broken","Tue Feb 22 11:29:33 GMT 2022","Tue Feb 22 11:30:39 GMT 2022","66185","","Login","","Login","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Tue Feb 22 11:32:54 GMT 2022","Tue Feb 22 11:33:37 GMT 2022","42660","","Login","","Login","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes","TC269- Verify that refresh button works on the screen when user doesnt have any shared mail boxes",""
"passed","Tue Feb 22 11:26:50 GMT 2022","Tue Feb 22 11:27:12 GMT 2022","22019","","Login","","Login","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"broken","Tue Feb 22 11:28:24 GMT 2022","Tue Feb 22 11:29:31 GMT 2022","66972","","Login","","Login","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"skipped","Tue Jan 25 08:27:08 GMT 2022","Tue Jan 25 08:27:08 GMT 2022","0","","Login","","Login","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app","TC272- Verify that if the user does not belong to any SM, relevant message should be shown in the app",""
"passed","Tue Feb 22 11:27:13 GMT 2022","Tue Feb 22 11:27:54 GMT 2022","40828","","Login","","Login","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Tue Feb 22 11:30:40 GMT 2022","Tue Feb 22 11:31:46 GMT 2022","65717","","Login","","Login","TC260- Verify that user is shown error message on trying to login to app without signup","TC260- Verify that user is shown error message on trying to login to app without signup",""
