"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 17 06:57:41 GMT 2022","Wed Aug 17 06:58:17 GMT 2022","35891","","Complete Test Suite","","Complete Test Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Wed Aug 17 06:51:31 GMT 2022","Wed Aug 17 06:52:06 GMT 2022","35555","","Complete Test Suite","","Complete Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Wed Aug 17 06:34:08 GMT 2022","Wed Aug 17 06:34:44 GMT 2022","36297","","Complete Test Suite","","Complete Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Wed Aug 17 07:18:48 GMT 2022","Wed Aug 17 07:19:14 GMT 2022","25335","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Wed Aug 17 06:39:49 GMT 2022","Wed Aug 17 06:40:25 GMT 2022","35667","","Complete Test Suite","","Complete Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"broken","Wed Aug 17 06:36:00 GMT 2022","Wed Aug 17 06:36:35 GMT 2022","35364","","Complete Test Suite","","Complete Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Wed Aug 17 07:15:05 GMT 2022","Wed Aug 17 07:15:40 GMT 2022","35321","","Complete Test Suite","","Complete Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Wed Aug 17 06:31:46 GMT 2022","Wed Aug 17 06:32:50 GMT 2022","64315","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"broken","Wed Aug 17 06:52:45 GMT 2022","Wed Aug 17 06:53:21 GMT 2022","36258","","Complete Test Suite","","Complete Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"broken","Wed Aug 17 07:07:37 GMT 2022","Wed Aug 17 07:08:13 GMT 2022","36094","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"broken","Wed Aug 17 06:37:15 GMT 2022","Wed Aug 17 06:38:13 GMT 2022","58357","","Complete Test Suite","","Complete Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"broken","Wed Aug 17 06:55:50 GMT 2022","Wed Aug 17 06:56:26 GMT 2022","36339","","Complete Test Suite","","Complete Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"broken","Wed Aug 17 06:35:22 GMT 2022","Wed Aug 17 06:35:59 GMT 2022","36542","","Complete Test Suite","","Complete Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"broken","Wed Aug 17 06:42:58 GMT 2022","Wed Aug 17 06:43:54 GMT 2022","56246","","Complete Test Suite","","Complete Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"broken","Wed Aug 17 07:09:29 GMT 2022","Wed Aug 17 07:10:05 GMT 2022","36235","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"broken","Wed Aug 17 07:18:09 GMT 2022","Wed Aug 17 07:18:47 GMT 2022","37865","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"broken","Wed Aug 17 06:32:52 GMT 2022","Wed Aug 17 06:33:28 GMT 2022","35923","","Complete Test Suite","","Complete Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"broken","Wed Aug 17 06:58:55 GMT 2022","Wed Aug 17 06:59:30 GMT 2022","35275","","Complete Test Suite","","Complete Test Suite","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.","TC648 - To verify users are not able to create ""Shared Draft"" using hiver menu present in compose section.",""
"broken","Wed Aug 17 07:08:14 GMT 2022","Wed Aug 17 07:08:50 GMT 2022","36218","","Complete Test Suite","","Complete Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"broken","Wed Aug 17 06:54:36 GMT 2022","Wed Aug 17 06:55:13 GMT 2022","36315","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"broken","Wed Aug 17 07:13:50 GMT 2022","Wed Aug 17 07:14:26 GMT 2022","35684","","Complete Test Suite","","Complete Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"broken","Wed Aug 17 07:16:55 GMT 2022","Wed Aug 17 07:17:30 GMT 2022","34986","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"broken","Wed Aug 17 07:14:27 GMT 2022","Wed Aug 17 07:15:04 GMT 2022","36609","","Complete Test Suite","","Complete Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"broken","Wed Aug 17 07:01:58 GMT 2022","Wed Aug 17 07:02:36 GMT 2022","37588","","Complete Test Suite","","Complete Test Suite","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen","TC654 - To verify user is able to search for the conversation present in ""Gmail Inbox"" from search screen",""
"broken","Wed Aug 17 06:45:52 GMT 2022","Wed Aug 17 06:46:49 GMT 2022","56642","","Complete Test Suite","","Complete Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"broken","Wed Aug 17 06:55:14 GMT 2022","Wed Aug 17 06:55:49 GMT 2022","34967","","Complete Test Suite","","Complete Test Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"broken","Wed Aug 17 07:06:58 GMT 2022","Wed Aug 17 07:07:35 GMT 2022","37040","","Complete Test Suite","","Complete Test Suite","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.","TC674 - To verify user is able to add conversations under ""Gmail inbox"" to SM he is part of.",""
"broken","Wed Aug 17 07:10:06 GMT 2022","Wed Aug 17 07:10:43 GMT 2022","36431","","Complete Test Suite","","Complete Test Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"broken","Wed Aug 17 07:11:22 GMT 2022","Wed Aug 17 07:11:58 GMT 2022","36044","","Complete Test Suite","","Complete Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"broken","Wed Aug 17 06:52:07 GMT 2022","Wed Aug 17 06:52:44 GMT 2022","36219","","Complete Test Suite","","Complete Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"broken","Wed Aug 17 06:53:59 GMT 2022","Wed Aug 17 06:54:35 GMT 2022","35750","","Complete Test Suite","","Complete Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Wed Aug 17 06:34:46 GMT 2022","Wed Aug 17 06:35:21 GMT 2022","35325","","Complete Test Suite","","Complete Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"broken","Wed Aug 17 07:06:21 GMT 2022","Wed Aug 17 07:06:57 GMT 2022","35510","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"broken","Wed Aug 17 07:16:18 GMT 2022","Wed Aug 17 07:16:54 GMT 2022","35884","","Complete Test Suite","","Complete Test Suite","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option","TC677 - To verify confirmation popup should not show once the user checks the ""don’t show again"" option",""
"broken","Wed Aug 17 07:10:44 GMT 2022","Wed Aug 17 07:11:21 GMT 2022","36580","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"broken","Wed Aug 17 07:15:42 GMT 2022","Wed Aug 17 07:16:17 GMT 2022","35634","","Complete Test Suite","","Complete Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"broken","Wed Aug 17 06:56:28 GMT 2022","Wed Aug 17 06:57:04 GMT 2022","35912","","Complete Test Suite","","Complete Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"broken","Wed Aug 17 07:11:59 GMT 2022","Wed Aug 17 07:12:35 GMT 2022","36023","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Wed Aug 17 06:30:11 GMT 2022","Wed Aug 17 06:30:34 GMT 2022","23579","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Wed Aug 17 07:17:32 GMT 2022","Wed Aug 17 07:18:08 GMT 2022","36474","","Complete Test Suite","","Complete Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"broken","Wed Aug 17 06:33:29 GMT 2022","Wed Aug 17 06:34:07 GMT 2022","37709","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Wed Aug 17 06:30:36 GMT 2022","Wed Aug 17 06:30:55 GMT 2022","19381","","Complete Test Suite","","Complete Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"broken","Wed Aug 17 06:41:25 GMT 2022","Wed Aug 17 06:42:00 GMT 2022","35036","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"broken","Wed Aug 17 06:36:37 GMT 2022","Wed Aug 17 06:37:14 GMT 2022","36981","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Wed Aug 17 06:42:01 GMT 2022","Wed Aug 17 06:42:57 GMT 2022","56084","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"broken","Wed Aug 17 06:47:49 GMT 2022","Wed Aug 17 06:48:45 GMT 2022","56308","","Complete Test Suite","","Complete Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"broken","Wed Aug 17 06:57:05 GMT 2022","Wed Aug 17 06:57:40 GMT 2022","35164","","Complete Test Suite","","Complete Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"broken","Wed Aug 17 06:50:33 GMT 2022","Wed Aug 17 06:51:29 GMT 2022","56074","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"broken","Wed Aug 17 06:43:56 GMT 2022","Wed Aug 17 06:44:52 GMT 2022","56602","","Complete Test Suite","","Complete Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Wed Aug 17 06:30:56 GMT 2022","Wed Aug 17 06:31:45 GMT 2022","48244","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"broken","Wed Aug 17 06:48:46 GMT 2022","Wed Aug 17 06:49:42 GMT 2022","55927","","Complete Test Suite","","Complete Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"broken","Wed Aug 17 06:46:50 GMT 2022","Wed Aug 17 06:47:47 GMT 2022","57208","","Complete Test Suite","","Complete Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
