"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 14 15:03:03 GMT 2023","Tue Mar 14 15:03:34 GMT 2023","31307","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Tue Mar 14 15:33:44 GMT 2023","Tue Mar 14 15:35:20 GMT 2023","96461","","Inbox Test Suite","","Inbox Test Suite","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox","TC670 - To verify conversation menu (three dots) contains two options (mark as unread, remove conversation from SM) when user selects any shared conversation form inbox",""
"passed","Tue Mar 14 15:05:07 GMT 2023","Tue Mar 14 15:05:36 GMT 2023","28799","","Inbox Test Suite","","Inbox Test Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"passed","Tue Mar 14 15:02:33 GMT 2023","Tue Mar 14 15:03:02 GMT 2023","28211","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Tue Mar 14 15:22:44 GMT 2023","Tue Mar 14 15:24:20 GMT 2023","95961","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Tue Mar 14 14:46:28 GMT 2023","Tue Mar 14 14:47:31 GMT 2023","63260","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Tue Mar 14 15:38:37 GMT 2023","Tue Mar 14 15:40:14 GMT 2023","97086","","Inbox Test Suite","","Inbox Test Suite","TC675 - To verify cancel option on the confirmation popup","TC675 - To verify cancel option on the confirmation popup",""
"passed","Tue Mar 14 15:10:50 GMT 2023","Tue Mar 14 15:11:21 GMT 2023","31331","","Inbox Test Suite","","Inbox Test Suite","TC649 - To verify user are able to mark conversation as ""unread"" from the app.","TC649 - To verify user are able to mark conversation as ""unread"" from the app.",""
"passed","Tue Mar 14 15:06:36 GMT 2023","Tue Mar 14 15:07:19 GMT 2023","43074","","Inbox Test Suite","","Inbox Test Suite","TC641 - To verify that snippet of last sent email is visible in the conversation list.","TC641 - To verify that snippet of last sent email is visible in the conversation list.",""
"passed","Tue Mar 14 15:29:21 GMT 2023","Tue Mar 14 15:29:56 GMT 2023","34264","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Tue Mar 14 15:05:37 GMT 2023","Tue Mar 14 15:06:05 GMT 2023","28369","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Tue Mar 14 15:12:47 GMT 2023","Tue Mar 14 15:13:26 GMT 2023","38743","","Inbox Test Suite","","Inbox Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Tue Mar 14 15:24:22 GMT 2023","Tue Mar 14 15:26:11 GMT 2023","109575","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Tue Mar 14 14:51:47 GMT 2023","Tue Mar 14 14:52:17 GMT 2023","29515","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Tue Mar 14 15:17:53 GMT 2023","Tue Mar 14 15:19:21 GMT 2023","87657","","Inbox Test Suite","","Inbox Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Tue Mar 14 15:00:16 GMT 2023","Tue Mar 14 15:01:06 GMT 2023","50061","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Tue Mar 14 14:45:44 GMT 2023","Tue Mar 14 14:46:27 GMT 2023","42726","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Tue Mar 14 15:03:35 GMT 2023","Tue Mar 14 15:04:35 GMT 2023","59294","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Tue Mar 14 15:11:23 GMT 2023","Tue Mar 14 15:12:12 GMT 2023","49034","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"passed","Tue Mar 14 14:55:01 GMT 2023","Tue Mar 14 14:55:38 GMT 2023","36525","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Tue Mar 14 14:45:00 GMT 2023","Tue Mar 14 14:45:23 GMT 2023","23084","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Tue Mar 14 15:16:47 GMT 2023","Tue Mar 14 15:17:20 GMT 2023","33203","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"failed","Tue Mar 14 14:44:45 GMT 2023","Tue Mar 14 14:44:58 GMT 2023","13022","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Tue Mar 14 15:31:37 GMT 2023","Tue Mar 14 15:32:06 GMT 2023","29253","","Inbox Test Suite","","Inbox Test Suite","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations","TC659 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Tue Mar 14 15:26:12 GMT 2023","Tue Mar 14 15:26:53 GMT 2023","40783","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Tue Mar 14 14:50:44 GMT 2023","Tue Mar 14 14:51:13 GMT 2023","29214","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Tue Mar 14 15:42:24 GMT 2023","Tue Mar 14 15:44:00 GMT 2023","95794","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Tue Mar 14 14:53:20 GMT 2023","Tue Mar 14 14:53:50 GMT 2023","29942","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Tue Mar 14 15:20:55 GMT 2023","Tue Mar 14 15:22:43 GMT 2023","108098","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Tue Mar 14 15:36:56 GMT 2023","Tue Mar 14 15:38:36 GMT 2023","99673","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Tue Mar 14 15:01:41 GMT 2023","Tue Mar 14 15:02:32 GMT 2023","50687","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
