"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 02 14:31:13 GMT 2022","Wed Mar 02 14:32:37 GMT 2022","83741","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC243 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Wed Mar 02 14:22:29 GMT 2022","Wed Mar 02 14:23:33 GMT 2022","64180","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC246 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Wed Mar 02 14:29:44 GMT 2022","Wed Mar 02 14:31:12 GMT 2022","88011","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"passed","Wed Mar 02 14:21:03 GMT 2022","Wed Mar 02 14:22:28 GMT 2022","85060","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC241 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Wed Mar 02 14:19:07 GMT 2022","Wed Mar 02 14:20:00 GMT 2022","53060","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field","TC239 - Verify that on clicking on help and support, compose mail is opened with support id as default in ""To"" field",""
"passed","Wed Mar 02 14:23:35 GMT 2022","Wed Mar 02 14:24:57 GMT 2022","81723","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC248 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"broken","Wed Mar 02 14:27:03 GMT 2022","Wed Mar 02 14:29:42 GMT 2022","158698","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC254 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"passed","Wed Mar 02 14:17:59 GMT 2022","Wed Mar 02 14:19:06 GMT 2022","66819","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC238 - Verify that user uis able to see the profile information on the left panel","TC238 - Verify that user uis able to see the profile information on the left panel",""
"passed","Wed Mar 02 14:20:01 GMT 2022","Wed Mar 02 14:21:02 GMT 2022","60926","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.","TC240 - Verify that user can modify To,From,CC,BCC fields after clicking on help and support option.",""
"passed","Wed Mar 02 14:32:38 GMT 2022","Wed Mar 02 14:34:24 GMT 2022","105345","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC249 - Verify that user is able to send the email successfully.","TC249 - Verify that user is able to send the email successfully.",""
"broken","Wed Mar 02 14:25:13 GMT 2022","Wed Mar 02 14:27:01 GMT 2022","107915","","Left Panel and Compose Mail","","Left Panel and Compose Mail","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &","TC253 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast &",""
