"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 03 14:49:11 GMT 2023","Fri Mar 03 14:49:37 GMT 2023","25649","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Mar 03 14:51:33 GMT 2023","Fri Mar 03 14:51:58 GMT 2023","25464","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Mar 03 15:01:29 GMT 2023","Fri Mar 03 15:02:13 GMT 2023","43834","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Fri Mar 03 14:47:44 GMT 2023","Fri Mar 03 14:48:46 GMT 2023","61686","","Login Test Suite","","Login Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Fri Mar 03 14:51:59 GMT 2023","Fri Mar 03 14:52:28 GMT 2023","28670","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.","TC732 - Verify that user is able to access "" help & feedback"" even with no internet connection.",""
"broken","Fri Mar 03 14:57:49 GMT 2023","Fri Mar 03 14:58:31 GMT 2023","41179","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )","TC746 - Verify that users are able to insert email templates (To be executed after email templates are developed for Mobile )",""
"passed","Fri Mar 03 14:52:29 GMT 2023","Fri Mar 03 14:52:57 GMT 2023","27957","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.","TC733 - To verify user is able to ""Logout"" from app in ""No Internet"" scenario.",""
"passed","Fri Mar 03 14:46:22 GMT 2023","Fri Mar 03 14:46:44 GMT 2023","21499","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Fri Mar 03 14:49:38 GMT 2023","Fri Mar 03 14:50:05 GMT 2023","27231","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.","TC726 - To verify ""Right Drawer"" panel is closed when user clicks on ""Close"" icon.",""
"passed","Fri Mar 03 15:01:01 GMT 2023","Fri Mar 03 15:01:28 GMT 2023","27263","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection","TC761 - Verify that user is able to access Compose and help&feedback even with no internet connection",""
"passed","Fri Mar 03 14:46:45 GMT 2023","Fri Mar 03 14:47:03 GMT 2023","18260","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Fri Mar 03 14:50:06 GMT 2023","Fri Mar 03 14:50:31 GMT 2023","24750","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.","TC727 - To verify ""Right Drawer Panel"" is getting closed if user clicks anywhere outside the panel.",""
"passed","Fri Mar 03 14:51:06 GMT 2023","Fri Mar 03 14:51:31 GMT 2023","25092","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Fri Mar 03 14:53:25 GMT 2023","Fri Mar 03 14:54:00 GMT 2023","34707","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"broken","Fri Mar 03 14:47:04 GMT 2023","Fri Mar 03 14:47:43 GMT 2023","38833","","Login Test Suite","","Login Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Mar 03 14:50:32 GMT 2023","Fri Mar 03 14:51:05 GMT 2023","33147","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Fri Mar 03 14:55:37 GMT 2023","Fri Mar 03 14:56:11 GMT 2023","33624","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field","TC742 - Verify that user gets an error message on trying to send an email with empty ""From"" field",""
"passed","Fri Mar 03 15:00:15 GMT 2023","Fri Mar 03 15:01:00 GMT 2023","44913","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC752 - Verify that user is able to compose and send an email with large content","TC752 - Verify that user is able to compose and send an email with large content",""
"passed","Fri Mar 03 14:59:24 GMT 2023","Fri Mar 03 15:00:14 GMT 2023","49424","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
"failed","Fri Mar 03 14:46:09 GMT 2023","Fri Mar 03 14:46:21 GMT 2023","12134","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Fri Mar 03 14:54:01 GMT 2023","Fri Mar 03 14:54:32 GMT 2023","30824","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Fri Mar 03 14:58:32 GMT 2023","Fri Mar 03 14:59:23 GMT 2023","51524","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Fri Mar 03 14:55:03 GMT 2023","Fri Mar 03 14:55:36 GMT 2023","33026","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Fri Mar 03 14:56:12 GMT 2023","Fri Mar 03 14:56:57 GMT 2023","45482","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields","TC743 - Verify user should be able to add Subject, To, Cc, Bcc fields",""
"passed","Fri Mar 03 14:52:58 GMT 2023","Fri Mar 03 14:53:24 GMT 2023","25349","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
"broken","Fri Mar 03 15:02:14 GMT 2023","Fri Mar 03 15:02:28 GMT 2023","13222","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Fri Mar 03 14:48:47 GMT 2023","Fri Mar 03 14:49:10 GMT 2023","23137","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC724 - To verify profileAvatar.","TC724 - To verify profileAvatar.",""
"passed","Fri Mar 03 14:54:33 GMT 2023","Fri Mar 03 14:55:02 GMT 2023","29090","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Fri Mar 03 14:56:59 GMT 2023","Fri Mar 03 14:57:48 GMT 2023","49682","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Fri Mar 03 15:16:13 GMT 2023","Fri Mar 03 15:16:49 GMT 2023","36791","","Quoted Text","","Quoted Text","TC579 - To verify quoted text with dark mode","TC579 - To verify quoted text with dark mode",""
"passed","Fri Mar 03 15:24:16 GMT 2023","Fri Mar 03 15:24:49 GMT 2023","32630","","Conversation Search","","Conversation Search","TC528 - To verify the search results are displayed under ""All Mailboxes"" apart from chosen SM.","TC528 - To verify the search results are displayed under ""All Mailboxes"" apart from chosen SM.",""
"broken","Fri Mar 03 16:10:17 GMT 2023","Fri Mar 03 16:10:55 GMT 2023","37922","","Status & Views","","Status & Views","TC438 - To verify if user switches between the SM, the views list and count should be according the SM chosen","TC438 - To verify if user switches between the SM, the views list and count should be according the SM chosen",""
"passed","Fri Mar 03 15:15:40 GMT 2023","Fri Mar 03 15:16:11 GMT 2023","31126","","Quoted Text","","Quoted Text","TC577 - To verify the quoted text with no internet","TC577 - To verify the quoted text with no internet",""
"passed","Fri Mar 03 16:08:13 GMT 2023","Fri Mar 03 16:08:43 GMT 2023","30424","","Forward","","Forward","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.","TC596 - To verify ""From"" address is being picked up from gmail settings by default if user is forwarding a mail.",""
"passed","Fri Mar 03 16:12:52 GMT 2023","Fri Mar 03 16:13:26 GMT 2023","33915","","Status & Views","","Status & Views","TC445 - To verify user is able to change the status of the mail added to SM from any of the views present.","TC445 - To verify user is able to change the status of the mail added to SM from any of the views present.",""
"passed","Fri Mar 03 15:31:15 GMT 2023","Fri Mar 03 15:31:48 GMT 2023","32980","","Conversation Search","","Conversation Search","TC541 - To verify empty screen along with proper error message is being displayed when user searches using invalid keywords.","TC541 - To verify empty screen along with proper error message is being displayed when user searches using invalid keywords.",""
"passed","Fri Mar 03 15:33:09 GMT 2023","Fri Mar 03 15:33:48 GMT 2023","39557","","Conversation Search","","Conversation Search","TC545 - To verify if search item updates when assignee/status/read-unread is updated from mobile or web","TC545 - To verify if search item updates when assignee/status/read-unread is updated from mobile or web",""
"passed","Fri Mar 03 15:42:09 GMT 2023","Fri Mar 03 15:42:48 GMT 2023","38660","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Fri Mar 03 15:56:52 GMT 2023","Fri Mar 03 15:57:25 GMT 2023","33187","","Permalinks","","Permalinks","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel",""
"passed","Fri Mar 03 15:53:49 GMT 2023","Fri Mar 03 15:54:26 GMT 2023","36983","","Permalinks","","Permalinks","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.","TC758 - To verify if user clicks on the ""Public Permalink"", he/she taken to the webpage even if the app is installed.",""
"passed","Fri Mar 03 15:23:42 GMT 2023","Fri Mar 03 15:24:15 GMT 2023","32872","","Conversation Search","","Conversation Search","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.","TC527 - To verify search results are based on ""Start with"" search across ""BODY"" and ""SUBJECT"" of the email.",""
"passed","Fri Mar 03 16:02:40 GMT 2023","Fri Mar 03 16:03:06 GMT 2023","26183","","Forward","","Forward","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"broken","Fri Mar 03 15:19:27 GMT 2023","Fri Mar 03 15:20:19 GMT 2023","52321","","Quoted Text","","Quoted Text","TC584 - To check the quoted text should not be the part of Shared Draft","TC584 - To check the quoted text should not be the part of Shared Draft",""
"passed","Fri Mar 03 15:14:19 GMT 2023","Fri Mar 03 15:14:52 GMT 2023","32701","","Quoted Text","","Quoted Text","TC574 - To verify the quoted text should be collapsed by default","TC574 - To verify the quoted text should be collapsed by default",""
"passed","Fri Mar 03 15:34:31 GMT 2023","Fri Mar 03 15:35:02 GMT 2023","30981","","Conversation Search","","Conversation Search","TC557 - Search with unicodes","TC557 - Search with unicodes",""
"passed","Fri Mar 03 16:09:15 GMT 2023","Fri Mar 03 16:09:45 GMT 2023","30095","","Status & Views","","Status & Views","TC435 - To verify user is able to see all the other ""Views"" option present when he clicks on the view floater button","TC435 - To verify user is able to see all the other ""Views"" option present when he clicks on the view floater button",""
