"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 04 14:47:00 GMT 2023","Thu May 04 14:47:13 GMT 2023","12844","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Thu May 04 15:18:33 GMT 2023","Thu May 04 15:19:03 GMT 2023","29960","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"broken","Thu May 04 15:36:20 GMT 2023","Thu May 04 15:37:05 GMT 2023","44728","","Inbox Test Suite","","Inbox Test Suite","TC672 - To verify confirmation popup before removing the conversation","TC672 - To verify confirmation popup before removing the conversation",""
"passed","Thu May 04 14:47:14 GMT 2023","Thu May 04 14:47:37 GMT 2023","22569","","Login Test Suite","","Login Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"passed","Thu May 04 15:37:06 GMT 2023","Thu May 04 15:38:46 GMT 2023","99611","","Inbox Test Suite","","Inbox Test Suite","TC673 - To verify remove the conversation from SM","TC673 - To verify remove the conversation from SM",""
"passed","Thu May 04 15:04:21 GMT 2023","Thu May 04 15:04:48 GMT 2023","27084","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Thu May 04 15:33:12 GMT 2023","Thu May 04 15:34:43 GMT 2023","91183","","Inbox Test Suite","","Inbox Test Suite","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM","TC668 - To verify app will not support to add another SM when the conversation already added to one particular SM",""
"passed","Thu May 04 15:22:11 GMT 2023","Thu May 04 15:24:02 GMT 2023","110371","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Thu May 04 15:09:42 GMT 2023","Thu May 04 15:10:16 GMT 2023","33566","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Thu May 04 15:01:10 GMT 2023","Thu May 04 15:02:07 GMT 2023","56841","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign","TC749 - Verify if email is composed and sent via an SM alias, its behaviour should be same as web i.e it should be closed by default and not assign",""
