"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 01 15:30:35 GMT 2022","Fri Jul 01 15:31:10 GMT 2022","34504","","Complete Test Suite","","Complete Test Suite","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".","TC663 - To verify users are able to open the conversation from the searched results for ""Gmail Inbox"".",""
"broken","Fri Jul 01 15:39:33 GMT 2022","Fri Jul 01 15:40:23 GMT 2022","49976","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"passed","Fri Jul 01 15:10:45 GMT 2022","Fri Jul 01 15:11:20 GMT 2022","34834","","Complete Test Suite","","Complete Test Suite","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field","TC741 - Verify user should have the option to select any other SM email(or their alias) or my personal email in the From field",""
"passed","Fri Jul 01 15:06:54 GMT 2022","Fri Jul 01 15:07:24 GMT 2022","29434","","Complete Test Suite","","Complete Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Fri Jul 01 15:32:21 GMT 2022","Fri Jul 01 15:33:50 GMT 2022","89181","","Complete Test Suite","","Complete Test Suite","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""","TC669 - To verify there is an option to add the conversation to a shared mailbox for the mails present under ""gmail inbox""",""
"passed","Fri Jul 01 15:35:26 GMT 2022","Fri Jul 01 15:37:16 GMT 2022","109805","","Complete Test Suite","","Complete Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Fri Jul 01 15:20:50 GMT 2022","Fri Jul 01 15:21:19 GMT 2022","29391","","Complete Test Suite","","Complete Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Fri Jul 01 15:04:09 GMT 2022","Fri Jul 01 15:04:40 GMT 2022","31286","","Complete Test Suite","","Complete Test Suite","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.","TC725 - To verify right drawer panel  is accessible when user clicks on ""Profile Avatar"" in home page.",""
"passed","Fri Jul 01 15:49:15 GMT 2022","Fri Jul 01 15:50:56 GMT 2022","101430","","Complete Test Suite","","Complete Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Fri Jul 01 15:37:17 GMT 2022","Fri Jul 01 15:37:57 GMT 2022","39223","","Complete Test Suite","","Complete Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Fri Jul 01 15:01:48 GMT 2022","Fri Jul 01 15:02:32 GMT 2022","44056","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Fri Jul 01 15:10:11 GMT 2022","Fri Jul 01 15:10:43 GMT 2022","32439","","Complete Test Suite","","Complete Test Suite","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""","TC738 - To verify user lands on respective SM/Inbox chosen from ""Left Drawer Panel""",""
"passed","Fri Jul 01 15:37:58 GMT 2022","Fri Jul 01 15:38:52 GMT 2022","54198","","Complete Test Suite","","Complete Test Suite","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.","TC655 - To verify users will be able to see all the SMs to which the conversation belongs to.",""
"passed","Fri Jul 01 15:02:34 GMT 2022","Fri Jul 01 15:03:39 GMT 2022","65763","","Complete Test Suite","","Complete Test Suite","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet","TC278- Verify that user is shown  ‘No internet connection’ hello bar at all times inside the app if there’s no internet",""
"passed","Fri Jul 01 15:27:19 GMT 2022","Fri Jul 01 15:27:49 GMT 2022","30893","","Complete Test Suite","","Complete Test Suite","TC653 - To  verify user is able to switch between header tabs in the search screen.","TC653 - To  verify user is able to switch between header tabs in the search screen.",""
"passed","Fri Jul 01 15:26:43 GMT 2022","Fri Jul 01 15:27:17 GMT 2022","34791","","Complete Test Suite","","Complete Test Suite","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.","TC652 - To verify user is able to navigate to search screen from default categories present under Gmail Inbox.",""
"passed","Fri Jul 01 15:08:32 GMT 2022","Fri Jul 01 15:09:02 GMT 2022","30139","","Complete Test Suite","","Complete Test Suite","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.","TC734 - To verify ""Left Drawer Panel"" is displayed if user clicks on ""Left Menu"" button.",""
