"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 25 15:32:28 GMT 2023","Sat Mar 25 15:33:54 GMT 2023","86196","","Inbox Test Suite","","Inbox Test Suite","TC678 - To verify remove conversation from <SM name>”","TC678 - To verify remove conversation from <SM name>”",""
"passed","Sat Mar 25 15:33:56 GMT 2023","Sat Mar 25 15:34:22 GMT 2023","25766","","Inbox Test Suite","","Inbox Test Suite","TC97 - Verify that user is able to see subject line of the conversation","TC97 - Verify that user is able to see subject line of the conversation",""
"passed","Sat Mar 25 14:58:30 GMT 2023","Sat Mar 25 14:58:57 GMT 2023","26822","","Inbox Test Suite","","Inbox Test Suite","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums","TC632 - To verify users are able too see Default inbox type with the categories - Inbox, Primary, Social,Promotions,Updates,Forums",""
"passed","Sat Mar 25 15:34:23 GMT 2023","Sat Mar 25 15:35:05 GMT 2023","42248","","Inbox Test Suite","","Inbox Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"passed","Sat Mar 25 14:47:41 GMT 2023","Sat Mar 25 14:48:07 GMT 2023","25421","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"passed","Sat Mar 25 15:09:48 GMT 2023","Sat Mar 25 15:10:16 GMT 2023","28211","","Inbox Test Suite","","Inbox Test Suite","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.","TC664 -To verify proper error message is displayed if user searches for conversation using wrong keywords.",""
"passed","Sat Mar 25 14:54:20 GMT 2023","Sat Mar 25 14:55:12 GMT 2023","52024","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.","TC748 - Verify that after sending an email through compose, user should be landed back to preserved SM-View state with the sending toast & sent toast.",""
"passed","Sat Mar 25 15:20:55 GMT 2023","Sat Mar 25 15:21:25 GMT 2023","29449","","Inbox Test Suite","","Inbox Test Suite","TC656 - To verify users can switch to a different SM on the conversation thread screen","TC656 - To verify users can switch to a different SM on the conversation thread screen",""
"passed","Sat Mar 25 15:35:06 GMT 2023","Sat Mar 25 15:35:28 GMT 2023","22080","","Inbox Test Suite","","Inbox Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"passed","Sat Mar 25 14:47:14 GMT 2023","Sat Mar 25 14:47:40 GMT 2023","25861","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"passed","Sat Mar 25 15:02:57 GMT 2023","Sat Mar 25 15:03:30 GMT 2023","32840","","Inbox Test Suite","","Inbox Test Suite","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed","TC645 - To verify When the user enters into a conversation, all unread emails are expanded by default, and the rest are collapsed",""
"passed","Sat Mar 25 14:59:47 GMT 2023","Sat Mar 25 15:00:12 GMT 2023","24662","","Inbox Test Suite","","Inbox Test Suite","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.","TC635 - To verify the ""Category View"" button for 5 default categories shows count of unread conversation present under them.",""
"passed","Sat Mar 25 15:02:09 GMT 2023","Sat Mar 25 15:02:56 GMT 2023","47091","","Inbox Test Suite","","Inbox Test Suite","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.","TC642 - To verify thread count is shown beside each conversation if the count of mails present in the same is 2 or more than 2.",""
"passed","Sat Mar 25 14:58:04 GMT 2023","Sat Mar 25 14:58:29 GMT 2023","24679","","Inbox Test Suite","","Inbox Test Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"passed","Sat Mar 25 15:08:13 GMT 2023","Sat Mar 25 15:08:44 GMT 2023","31288","","Inbox Test Suite","","Inbox Test Suite","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""","TC660 - To verify ""Gmail Inbox"" chip is displayed for personal conversation if user searches for conversation in ""All Inboxes""",""
"passed","Sat Mar 25 15:10:17 GMT 2023","Sat Mar 25 15:10:44 GMT 2023","26814","","Inbox Test Suite","","Inbox Test Suite","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.","TC666 - To verify user is taken back to ""Gmail List"" view screen/page by clicking ""Cancel"" button in search screen/page.",""
"passed","Sat Mar 25 14:58:58 GMT 2023","Sat Mar 25 14:59:46 GMT 2023","48064","","Inbox Test Suite","","Inbox Test Suite","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""","TC633 - To verify users are able to switch between the categories present for ""Gmail Inbox""",""
"passed","Sat Mar 25 14:50:00 GMT 2023","Sat Mar 25 14:50:27 GMT 2023","26999","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC736 - Verify that on Compose mail page , the ""From field"" is empty.","TC736 - Verify that on Compose mail page , the ""From field"" is empty.",""
"passed","Sat Mar 25 15:15:04 GMT 2023","Sat Mar 25 15:16:24 GMT 2023","79288","","Inbox Test Suite","","Inbox Test Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
"passed","Sat Mar 25 15:16:25 GMT 2023","Sat Mar 25 15:18:04 GMT 2023","99190","","Inbox Test Suite","","Inbox Test Suite","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails","TC687 - To verify the Gmail inbox conversation list view with shared conversation mails",""
"passed","Sat Mar 25 15:05:33 GMT 2023","Sat Mar 25 15:06:17 GMT 2023","43639","","Inbox Test Suite","","Inbox Test Suite","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.","TC650 - To verify that ""Tag icon on top, tag chips, assignee, status and activity buttons"" are not part of the personal conversation thread list screen.",""
"failed","Sat Mar 25 14:42:18 GMT 2023","Sat Mar 25 14:42:30 GMT 2023","12514","","Login Test Suite","","Login Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
"passed","Sat Mar 25 14:52:48 GMT 2023","Sat Mar 25 14:53:38 GMT 2023","50641","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC744 - Verify that user is able to send the email successfully.","TC744 - Verify that user is able to send the email successfully.",""
"passed","Sat Mar 25 15:08:45 GMT 2023","Sat Mar 25 15:09:14 GMT 2023","28999","","Inbox Test Suite","","Inbox Test Suite","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results","TC662 - To verify proper chips are being displayed for the conversation part of both ""SMs and Inbox"" present in searched results",""
"passed","Sat Mar 25 14:42:55 GMT 2023","Sat Mar 25 14:43:13 GMT 2023","18311","","Login Test Suite","","Login Test Suite","TC630- To verify long press on hiver logo, showing the popup for quick login","TC630- To verify long press on hiver logo, showing the popup for quick login",""
"passed","Sat Mar 25 14:46:44 GMT 2023","Sat Mar 25 14:47:13 GMT 2023","28427","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field","TC729 - Verify that on clicking on ""Help and Feedback"" in ""Right Drawer Panel"", compose mail page is opened with ""support id"" as default in ""To"" field",""
"passed","Sat Mar 25 15:00:38 GMT 2023","Sat Mar 25 15:01:04 GMT 2023","25200","","Inbox Test Suite","","Inbox Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sat Mar 25 15:13:25 GMT 2023","Sat Mar 25 15:15:03 GMT 2023","97848","","Inbox Test Suite","","Inbox Test Suite","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.","TC676 - To verify conversation is not getting added to SM if user ""Cancels"" the confirmation.",""
"passed","Sat Mar 25 14:57:18 GMT 2023","Sat Mar 25 14:58:03 GMT 2023","44356","","Left and Right Panel Test Suite","","Left and Right Panel Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Sat Mar 25 15:18:05 GMT 2023","Sat Mar 25 15:18:39 GMT 2023","33852","","Inbox Test Suite","","Inbox Test Suite","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.","TC647 - To verify users are able to ""reply/reply all/forward"" the mails available at a conversation level.",""
"passed","Sat Mar 25 15:21:26 GMT 2023","Sat Mar 25 15:22:50 GMT 2023","84122","","Inbox Test Suite","","Inbox Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
