"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 29 15:24:10 GMT 2022","Sun May 29 15:24:52 GMT 2022","42060","","Complete Test Suite","","Complete Test Suite","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations","TC657 - To verify users can switch to different SMs and able to see the assignee and other informations",""
"broken","Sun May 29 15:29:59 GMT 2022","Sun May 29 15:30:41 GMT 2022","42804","","Complete Test Suite","","Complete Test Suite","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.","TC99 - Verify that if any email is unread in the conversation, it should expand automatically for the user to read.",""
"broken","Sun May 29 15:05:55 GMT 2022","Sun May 29 15:06:38 GMT 2022","42631","","Complete Test Suite","","Complete Test Suite","TC257 - Verify that user is able to compose and send an email with large content","TC257 - Verify that user is able to compose and send an email with large content",""
"passed","Sun May 29 14:58:01 GMT 2022","Sun May 29 14:58:51 GMT 2022","49861","","Complete Test Suite","","Complete Test Suite","TC261- Verify that user gets a screen which information about what hiver will access in Google account","TC261- Verify that user gets a screen which information about what hiver will access in Google account",""
"passed","Sun May 29 15:30:42 GMT 2022","Sun May 29 15:31:14 GMT 2022","31446","","Complete Test Suite","","Complete Test Suite","TC104 - Verify that user can see the attachement icon in the list view of mail.","TC104 - Verify that user can see the attachement icon in the list view of mail.",""
"broken","Sun May 29 15:15:24 GMT 2022","Sun May 29 15:16:07 GMT 2022","42660","","Complete Test Suite","","Complete Test Suite","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data","TC658 - To verify when user is searching within Gmail inbox, the search results should only contain email exchange data",""
"broken","Sun May 29 15:11:01 GMT 2022","Sun May 29 15:11:44 GMT 2022","42966","","Complete Test Suite","","Complete Test Suite","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.","TC639 - To verify that the ""Profile Letter"" of the user is shown who started the conversation under default inbox categories.",""
"passed","Sun May 29 14:56:58 GMT 2022","Sun May 29 14:57:30 GMT 2022","31974","","Complete Test Suite","","Complete Test Suite","TC629- To verify app able to login by long press on hiver logo","TC629- To verify app able to login by long press on hiver logo",""
"broken","Sun May 29 15:08:08 GMT 2022","Sun May 29 15:08:50 GMT 2022","42278","","Complete Test Suite","","Complete Test Suite","TC255 - Verify that user is able to compose and send an email with inline images","TC255 - Verify that user is able to compose and send an email with inline images",""
"passed","Sun May 29 14:56:35 GMT 2022","Sun May 29 14:56:57 GMT 2022","21895","","Complete Test Suite","","Complete Test Suite","TC262- Verify that app version is shown on the login screen","TC262- Verify that app version is shown on the login screen",""
