"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 03 14:52:07 GMT 2023","Thu Aug 03 14:52:55 GMT 2023","48706","","Permalinks","","Permalinks","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.","TC714 - To verify user is able to access the ""Private Permalink"" sent over other apps if he s part of same SM for which permalink is generated.",""
"passed","Thu Aug 03 14:47:02 GMT 2023","Thu Aug 03 14:48:02 GMT 2023","60666","","Permalinks","","Permalinks","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.","TC706 - To verify ""Private Permalink"" is easily distinguishable between normal text and public permalink created both in dark and lite mode.",""
"passed","Thu Aug 03 14:59:04 GMT 2023","Thu Aug 03 15:00:07 GMT 2023","62881","","Permalinks","","Permalinks","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""","TC718 - To verify user is able to send out the ""Public Permalink"" as ""Reply/Reply All/Forward/Notes""",""
"passed","Thu Aug 03 15:02:05 GMT 2023","Thu Aug 03 15:04:08 GMT 2023","123596","","Permalinks","","Permalinks","TC721 - To verify the creation of a public permalink is reflected in the activity panel.","TC721 - To verify the creation of a public permalink is reflected in the activity panel.",""
"passed","Thu Aug 03 14:51:00 GMT 2023","Thu Aug 03 14:52:05 GMT 2023","65741","","Permalinks","","Permalinks","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.","TC713 - To verify proper error message is thrown if user edits the private permalink and tries accessing the same.",""
"passed","Thu Aug 03 15:12:55 GMT 2023","Thu Aug 03 15:13:46 GMT 2023","50672","","Permalinks","","Permalinks","TC698 - To verify user should be able to delete an existing public permalink","TC698 - To verify user should be able to delete an existing public permalink",""
"passed","Thu Aug 03 14:40:58 GMT 2023","Thu Aug 03 14:43:31 GMT 2023","152682","","Permalinks","","Permalinks","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.","TC690 - To verify ""Permalink icon"" is not visible/present for only Gmail Inbox conversations.",""
"passed","Thu Aug 03 15:00:08 GMT 2023","Thu Aug 03 15:01:05 GMT 2023","57259","","Permalinks","","Permalinks","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.","TC719 - To verify ""Public Permalink"" shared is accessible to user part of same SM.",""
"passed","Thu Aug 03 14:48:03 GMT 2023","Thu Aug 03 14:48:58 GMT 2023","54337","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Thu Aug 03 15:08:57 GMT 2023","Thu Aug 03 15:10:57 GMT 2023","120645","","Permalinks","","Permalinks","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC696 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Thu Aug 03 14:48:59 GMT 2023","Thu Aug 03 14:49:54 GMT 2023","54926","","Permalinks","","Permalinks","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM","TC709 - To verify user is able to access ""Private Permalink"" from Activities/Notes if user is part of same SM",""
"passed","Thu Aug 03 14:55:01 GMT 2023","Thu Aug 03 14:59:03 GMT 2023","241822","","Permalinks","","Permalinks","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.","TC716 - To verify user is able to create a  Public Permalink  if ""SM or UG configuration allow users to create public permalink.",""
"passed","Thu Aug 03 15:07:06 GMT 2023","Thu Aug 03 15:08:01 GMT 2023","55252","","Permalinks","","Permalinks","TC689 - To verify user should be able to refresh an existing public permalink","TC689 - To verify user should be able to refresh an existing public permalink",""
"passed","Thu Aug 03 14:49:55 GMT 2023","Thu Aug 03 14:50:58 GMT 2023","62929","","Permalinks","","Permalinks","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.","TC712 - To verify user is able to access ""Private Permalink"" from ""Quoted Text"" if user is still part of same SM.",""
"passed","Thu Aug 03 14:44:21 GMT 2023","Thu Aug 03 14:45:09 GMT 2023","48421","","Permalinks","","Permalinks","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM","TC692 - To verify Permalink Icon is accessible for conversation belonging to SM/Inbox+SM",""
"passed","Thu Aug 03 15:01:07 GMT 2023","Thu Aug 03 15:02:03 GMT 2023","56164","","Permalinks","","Permalinks","TC720 - To verify Non-SM user is able to access the public permalink shared.","TC720 - To verify Non-SM user is able to access the public permalink shared.",""
"passed","Thu Aug 03 14:45:11 GMT 2023","Thu Aug 03 14:45:58 GMT 2023","47531","","Permalinks","","Permalinks","TC693 - To verify if user is able to copy ""Private Permalink"" or not.","TC693 - To verify if user is able to copy ""Private Permalink"" or not.",""
"passed","Thu Aug 03 15:10:58 GMT 2023","Thu Aug 03 15:12:54 GMT 2023","115446","","Permalinks","","Permalinks","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal","TC697 - To verify the first name of the SM member who is created the public permalink is displayed below the popup modal",""
"passed","Thu Aug 03 15:08:02 GMT 2023","Thu Aug 03 15:08:55 GMT 2023","52940","","Permalinks","","Permalinks","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel","TC695 - To verify creates and updates of a public permalink should be reflected in the activity panel",""
"passed","Thu Aug 03 14:52:57 GMT 2023","Thu Aug 03 14:53:59 GMT 2023","62338","","Permalinks","","Permalinks","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.","TC756 - To verify the if the app will show a restricted page stating that the user does not have access to the conversation.",""
"passed","Thu Aug 03 15:05:07 GMT 2023","Thu Aug 03 15:07:04 GMT 2023","117252","","Permalinks","","Permalinks","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated","TC694 - To verify the link, refresh and delete icon is visible/present once after the public permalink generated",""
