"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 30 05:33:29 GMT 2023","Mon Oct 30 05:34:41 GMT 2023","72774","","Assignee","","Assignee","TC377 - To verify search results are displayed when user enters valid username in the ""Assign to"" search field.","TC377 - To verify search results are displayed when user enters valid username in the ""Assign to"" search field.",""
"broken","Mon Oct 30 05:14:20 GMT 2023","Mon Oct 30 05:15:02 GMT 2023","42209","","Inbox Suite","","Inbox Suite","TC640 - To verify Subject line","TC640 - To verify Subject line",""
"passed","Mon Oct 30 05:51:38 GMT 2023","Mon Oct 30 05:52:29 GMT 2023","51601","","Forward","","Forward","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.","TC589 - To verify ""Forwarded"" mail becomes part of the original thread for the user who is forwarding the mail.",""
"broken","Mon Oct 30 05:58:49 GMT 2023","Mon Oct 30 05:59:41 GMT 2023","52062","","Activity Panel and Notes","","Activity Panel and Notes","TC37- Verify that user is able to add a new note or reply to existing note","TC37- Verify that user is able to add a new note or reply to existing note",""
"broken","Mon Oct 30 05:22:07 GMT 2023","Mon Oct 30 05:22:49 GMT 2023","42321","","Inbox Suite","","Inbox Suite","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.","TC651 - To verify when user open any shared conversation (from Inbox/SM listview), he/she should be able to view SM info (assignee, staus,tags etc) on this conversation.",""
"broken","Mon Oct 30 05:10:49 GMT 2023","Mon Oct 30 05:11:31 GMT 2023","42135","","Inbox Suite","","Inbox Suite","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.","TC631 - To verify users land on ""Gmail Inbox"" inbox category on very first login.",""
"broken","Mon Oct 30 05:12:55 GMT 2023","Mon Oct 30 05:13:38 GMT 2023","42307","","Inbox Suite","","Inbox Suite","TC638 - To verify that the time or date information on a conversation","TC638 - To verify that the time or date information on a conversation",""
"broken","Mon Oct 30 05:43:24 GMT 2023","Mon Oct 30 05:44:29 GMT 2023","65282","","Quoted Text","","Quoted Text","TC563 - To verify ""Show Quoted Text"" is visible in ""Compose"" screen as well and is clickable.","TC563 - To verify ""Show Quoted Text"" is visible in ""Compose"" screen as well and is clickable.",""
"broken","Mon Oct 30 05:15:44 GMT 2023","Mon Oct 30 05:16:27 GMT 2023","42812","","Inbox Suite","","Inbox Suite","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward","TC646 - To verify each mail in conversation should have the option to reply/reply all or forward",""
"broken","Mon Oct 30 04:59:10 GMT 2023","Mon Oct 30 05:00:33 GMT 2023","82796","","Permalinks","","Permalinks","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.","TC705 - To verify user is able to send a ""Private Permalink"" as reply/forward from compose section of conversation.",""
"broken","Mon Oct 30 05:06:11 GMT 2023","Mon Oct 30 05:06:32 GMT 2023","21902","","leftAndRightPanel","","leftAndRightPanel","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.","TC730 - Verify that clicking on Product updates option, opens up web page where user can check the latest updates in app.",""
"broken","Mon Oct 30 05:07:16 GMT 2023","Mon Oct 30 05:07:38 GMT 2023","21696","","leftAndRightPanel","","leftAndRightPanel","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.","TC735 - To verify ""Compose"" page is displayed when clicked on ""Compose"" button in left drawer panel.",""
"broken","Mon Oct 30 05:38:02 GMT 2023","Mon Oct 30 05:38:43 GMT 2023","41682","","Email Templates","","Email Templates","TC331 - To verify if user is able to preview email templates."".","TC331 - To verify if user is able to preview email templates."".",""
"broken","Mon Oct 30 05:06:32 GMT 2023","Mon Oct 30 05:06:54 GMT 2023","21883","","leftAndRightPanel","","leftAndRightPanel","TC731 - Verify that user is able to logout of the app using logout button.","TC731 - Verify that user is able to logout of the app using logout button.",""
"broken","Mon Oct 30 05:57:56 GMT 2023","Mon Oct 30 05:58:49 GMT 2023","52524","","Activity Panel and Notes","","Activity Panel and Notes","TC30- Verify that the count of all activities/notes is shown on the conversation footer and in Activities Panel","TC30- Verify that the count of all activities/notes is shown on the conversation footer and in Activities Panel",""
"broken","Mon Oct 30 06:03:09 GMT 2023","Mon Oct 30 06:04:01 GMT 2023","52261","","Activity Panel and Notes","","Activity Panel and Notes","TC55- Verify that user is able to add a new note or reply to an existing note","TC55- Verify that user is able to add a new note or reply to an existing note",""
"broken","Mon Oct 30 05:00:33 GMT 2023","Mon Oct 30 05:01:35 GMT 2023","62223","","Permalinks","","Permalinks","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.","TC707 - To verify user is able to access ""Private Permalink"" for SM which he is part of.",""
"passed","Mon Oct 30 05:29:09 GMT 2023","Mon Oct 30 05:30:32 GMT 2023","82543","","Assignee","","Assignee","TC369 - To verify if user clicks on ""Unassign"" , the conversation should get unassigned from the current user.","TC369 - To verify if user clicks on ""Unassign"" , the conversation should get unassigned from the current user.",""
"broken","Mon Oct 30 05:20:42 GMT 2023","Mon Oct 30 05:21:25 GMT 2023","42276","","Inbox Suite","","Inbox Suite","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.","TC686 - To verify hiver menu would only have the option to add email templates and not create a shared draft.",""
